cell_id,Icterus pyrrhopterus,Icterus pyrrhopterus tibialis,Icterus pyrrhopterus [pyrrhopterus Group]
8480021ffffffff,1.0,1.0,0.0
8480109ffffffff,6.0,6.0,0.0
8480301ffffffff,1.0,1.0,0.0
8481857ffffffff,2.0,2.0,0.0
848188dffffffff,4.0,4.0,0.0
84818c7ffffffff,2.0,2.0,0.0
848b203ffffffff,2.0,0.0,0.0
848b20bffffffff,2.0,0.0,2.0
848b22dffffffff,2.0,0.0,2.0
848b2e9ffffffff,1.0,0.0,0.0
848b709ffffffff,2.0,2.0,0.0
84a81c7ffffffff,3.0,0.0,0.0
84a840dffffffff,2.0,0.0,0.0
84a8a3dffffffff,2.0,0.0,0.0
84a8a91ffffffff,3.0,0.0,3.0
84a8ac9ffffffff,2.0,2.0,0.0
84a8c25ffffffff,1.0,0.0,1.0
84a9441ffffffff,4.0,0.0,4.0
84a9531ffffffff,2.0,0.0,2.0
84a9611ffffffff,6.0,0.0,0.0
84a9613ffffffff,55.0,0.0,0.0
84a9617ffffffff,29.0,0.0,0.0
84a9619ffffffff,30.0,0.0,0.0
84a962bffffffff,2.0,0.0,2.0
84a9637ffffffff,2.0,0.0,2.0
84a9653ffffffff,31.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84b248bffffffff,5.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b2499ffffffff,19.0,0.0,0.0
84b249bffffffff,16.0,0.0,0.0
84b249dffffffff,16.0,0.0,0.0
84b24d1ffffffff,78.0,0.0,0.0
84b24d3ffffffff,154.0,0.0,0.0
84b24d5ffffffff,9.0,0.0,0.0
84b24d7ffffffff,20.0,0.0,0.0
84b24d9ffffffff,20.0,0.0,0.0
84b24dbffffffff,175.0,0.0,0.0
84b25d5ffffffff,5.0,0.0,0.0
84b2613ffffffff,5.0,0.0,0.0
84b2687ffffffff,5.0,0.0,0.0
84b268bffffffff,10.0,0.0,0.0
84b2691ffffffff,18.0,0.0,0.0
84b2695ffffffff,2.0,0.0,0.0
84b2697ffffffff,2.0,0.0,0.0
84b2699ffffffff,4.0,0.0,0.0
84b269bffffffff,10.0,0.0,0.0
84b269dffffffff,11.0,0.0,0.0
84b26b1ffffffff,11.0,0.0,0.0
84b26b3ffffffff,7.0,0.0,0.0
84b26b9ffffffff,3.0,0.0,0.0
84b26bbffffffff,6.0,0.0,0.0
84b26bdffffffff,35.0,0.0,0.0
84b26d1ffffffff,7.0,0.0,0.0
84b26d7ffffffff,62.0,0.0,0.0
84b26ddffffffff,10.0,0.0,0.0
84b270dffffffff,3.0,0.0,0.0
84b2723ffffffff,2.0,0.0,0.0
84b2e91ffffffff,26.0,0.0,0.0
84b2e99ffffffff,12.0,0.0,0.0
84b2e9bffffffff,1.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
84b3629ffffffff,3.0,0.0,3.0
84b3667ffffffff,3.0,0.0,0.0
84b366dffffffff,1.0,0.0,0.0
84c2c5bffffffff,1.0,0.0,1.0
84c2c91ffffffff,4.0,0.0,0.0
84c2c97ffffffff,5.0,0.0,0.0
84c2c99ffffffff,39.0,0.0,0.0
84c2c9bffffffff,2.0,0.0,0.0
84c2ca7ffffffff,4.0,0.0,0.0
84c2cadffffffff,2.0,0.0,0.0
84c2cd3ffffffff,97.0,0.0,0.0
84c2ce1ffffffff,2.0,0.0,2.0
84c2d03ffffffff,1.0,0.0,0.0
84c2e23ffffffff,5.0,0.0,5.0
84c2e31ffffffff,4.0,0.0,4.0
84c2e33ffffffff,1.0,0.0,0.0
84c2e97ffffffff,2.0,0.0,0.0
84c2e99ffffffff,2.0,0.0,0.0
84c2ea1ffffffff,3.0,0.0,3.0
84c2eb9ffffffff,4.0,0.0,0.0
84c2ebbffffffff,6.0,0.0,0.0
84c2f31ffffffff,2.0,0.0,0.0
84c2f3dffffffff,4.0,0.0,0.0
