cell_id,Rallus elegans,Rallus elegans elegans,Rallus elegans ramsdeni
8426205ffffffff,1.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0
8426493ffffffff,9.0,0.0,0.0
8426495ffffffff,2.0,0.0,0.0
84264bbffffffff,3.0,0.0,0.0
8426635ffffffff,5.0,0.0,0.0
84266a5ffffffff,2.0,0.0,0.0
84266adffffffff,2.0,0.0,0.0
84266c1ffffffff,3.0,0.0,0.0
84266e1ffffffff,15.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0
8426719ffffffff,3.0,0.0,0.0
8426c37ffffffff,49.0,0.0,0.0
8426e21ffffffff,126.0,0.0,0.0
8426e2dffffffff,36.0,0.0,0.0
842a1a5ffffffff,2.0,0.0,0.0
842a949ffffffff,3.0,0.0,0.0
842aa83ffffffff,3.0,0.0,0.0
842aa87ffffffff,105.0,0.0,0.0
842aa8bffffffff,24.0,2.0,0.0
842aa8dffffffff,4.0,0.0,0.0
842aa91ffffffff,21.0,2.0,0.0
842aa95ffffffff,8.0,0.0,0.0
842aa99ffffffff,1.0,0.0,0.0
842aa9bffffffff,10.0,0.0,0.0
842aa9dffffffff,257.0,18.0,0.0
842aaabffffffff,384.0,0.0,0.0
842aab9ffffffff,4.0,0.0,0.0
842aabdffffffff,92.0,0.0,0.0
842aac7ffffffff,152.0,0.0,0.0
842ac6dffffffff,157.0,0.0,0.0
842ad03ffffffff,18.0,0.0,0.0
842ad0bffffffff,2.0,0.0,0.0
842ad15ffffffff,2.0,0.0,0.0
842ad39ffffffff,2.0,0.0,0.0
842ad49ffffffff,24.0,0.0,0.0
842ad51ffffffff,4.0,0.0,0.0
842ad55ffffffff,1.0,0.0,0.0
842ad59ffffffff,272.0,0.0,0.0
842ad5dffffffff,20.0,0.0,0.0
842af01ffffffff,17.0,0.0,0.0
842af03ffffffff,29.0,0.0,0.0
842af05ffffffff,140.0,0.0,0.0
842af07ffffffff,5.0,0.0,0.0
842af0dffffffff,695.0,0.0,0.0
842af15ffffffff,127.0,0.0,0.0
842af17ffffffff,126.0,0.0,0.0
842af29ffffffff,49.0,0.0,0.0
842af31ffffffff,95.0,0.0,0.0
842af35ffffffff,5.0,0.0,0.0
842af37ffffffff,28.0,0.0,0.0
842af39ffffffff,35.0,0.0,0.0
842af3dffffffff,6.0,0.0,0.0
8444123ffffffff,60.0,0.0,0.0
8444125ffffffff,93.0,0.0,0.0
8444127ffffffff,6.0,0.0,0.0
844412dffffffff,92.0,6.0,0.0
8444131ffffffff,50.0,0.0,0.0
8444133ffffffff,118.0,0.0,0.0
8444135ffffffff,29.0,0.0,0.0
8444137ffffffff,146.0,0.0,0.0
844413dffffffff,5.0,0.0,0.0
84441a1ffffffff,20.0,0.0,0.0
84441a3ffffffff,16.0,0.0,0.0
84441a5ffffffff,13.0,0.0,0.0
84441abffffffff,17.0,0.0,0.0
84441b7ffffffff,1.0,0.0,0.0
84441e5ffffffff,4.0,0.0,0.0
844432dffffffff,2.0,0.0,0.0
8444343ffffffff,2.0,0.0,0.0
8444363ffffffff,36.0,0.0,1.0
844440bffffffff,4.0,0.0,0.0
8444441ffffffff,12.0,0.0,0.0
