cell_id,Gypaetus barbatus,Gypaetus barbatus barbatus,Gypaetus barbatus meridionalis
82184ffffffffff,4.0,0.0,0.0
821947fffffffff,59.0,20.0,0.0
82194ffffffffff,3.0,0.0,0.0
82196ffffffffff,13.0,0.0,0.0
821ecffffffffff,7.0,0.0,0.0
821f8ffffffffff,41.0,3.0,0.0
821f9ffffffffff,7.0,0.0,0.0
822017fffffffff,1.0,1.0,0.0
82201ffffffffff,4.0,4.0,0.0
82204ffffffffff,11.0,11.0,0.0
82206ffffffffff,2.0,2.0,0.0
8220a7fffffffff,1.0,0.0,0.0
8220e7fffffffff,8.0,4.0,0.0
822407fffffffff,1.0,1.0,0.0
82240ffffffffff,16.0,1.0,0.0
822517fffffffff,5.0,3.0,0.0
82255ffffffffff,2.0,1.0,0.0
8225affffffffff,5.0,5.0,0.0
822c07fffffffff,8.0,0.0,0.0
822c27fffffffff,13.0,0.0,0.0
822c2ffffffffff,38.0,37.0,0.0
822d17fffffffff,3.0,0.0,0.0
822d37fffffffff,11.0,0.0,0.0
822da7fffffffff,1.0,0.0,0.0
823187fffffffff,2.0,0.0,0.0
823827fffffffff,18.0,0.0,0.0
823907fffffffff,30.0,0.0,0.0
82390ffffffffff,27.0,0.0,0.0
82391ffffffffff,24.0,0.0,0.0
82392ffffffffff,132.0,5.0,0.0
823967fffffffff,25.0,9.0,0.0
823977fffffffff,30.0,6.0,0.0
823987fffffffff,2.0,0.0,0.0
823c07fffffffff,8.0,0.0,0.0
823c0ffffffffff,5.0,0.0,0.0
823c37fffffffff,6.0,0.0,0.0
823c57fffffffff,6.0,0.0,0.0
823d07fffffffff,2.0,2.0,0.0
823d17fffffffff,18.0,7.0,0.0
823daffffffffff,5.0,2.0,0.0
823f77fffffffff,2.0,2.0,0.0
8240c7fffffffff,21.0,19.0,0.0
8240effffffffff,36.0,36.0,0.0
824367fffffffff,1.0,0.0,0.0
825287fffffffff,2.0,0.0,2.0
82529ffffffffff,5.0,0.0,5.0
827a47fffffffff,1.0,0.0,0.0
827a67fffffffff,5.0,0.0,2.0
827a6ffffffffff,5.0,0.0,2.0
829697fffffffff,3.0,0.0,0.0
