cell_id,Dacnis lineata,Dacnis lineata egregia/aequatorialis,Dacnis lineata lineata
845f031ffffffff,2.0,0.0,0.0
845f035ffffffff,10.0,0.0,0.0
845f037ffffffff,1.0,0.0,0.0
845f03dffffffff,49.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0
845f12bffffffff,2.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f1cbffffffff,6.0,0.0,0.0
845f295ffffffff,5.0,0.0,0.0
845f2b1ffffffff,22.0,0.0,0.0
845f2b3ffffffff,7.0,0.0,0.0
845f2bbffffffff,153.0,0.0,0.0
845f635ffffffff,1.0,0.0,0.0
845f683ffffffff,1.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0
845f68bffffffff,3.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0
845f713ffffffff,5.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0
845f759ffffffff,15.0,0.0,0.0
845f75dffffffff,5.0,0.0,0.0
8466017ffffffff,1.0,0.0,0.0
846601bffffffff,1.0,0.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466085ffffffff,5.0,0.0,0.0
8466087ffffffff,7.0,1.0,0.0
8466089ffffffff,142.0,10.0,0.0
846608dffffffff,842.0,106.0,0.0
8466099ffffffff,5.0,0.0,0.0
84660a1ffffffff,10.0,4.0,0.0
84660a3ffffffff,6.0,0.0,0.0
84660a5ffffffff,4.0,0.0,0.0
84660a7ffffffff,146.0,34.0,0.0
84660abffffffff,3.0,0.0,0.0
84660c5ffffffff,6.0,0.0,0.0
84660c7ffffffff,45.0,12.0,0.0
84660ddffffffff,1.0,0.0,0.0
84660e3ffffffff,6.0,2.0,0.0
84660e5ffffffff,1.0,0.0,0.0
84660e7ffffffff,2.0,0.0,0.0
84660ebffffffff,5.0,0.0,0.0
8466117ffffffff,1.0,0.0,0.0
8466191ffffffff,206.0,58.0,0.0
8466193ffffffff,672.0,175.0,0.0
8466197ffffffff,34.0,0.0,0.0
8466199ffffffff,102.0,10.0,0.0
846619bffffffff,382.0,142.0,0.0
846619dffffffff,18.0,10.0,0.0
84661bbffffffff,2.0,0.0,0.0
84661c3ffffffff,4.0,0.0,0.0
84661c9ffffffff,8.0,0.0,0.0
84661cbffffffff,14.0,0.0,0.0
84661cdffffffff,21.0,0.0,0.0
84661d1ffffffff,119.0,49.0,0.0
84661d3ffffffff,13.0,0.0,0.0
84661d5ffffffff,5.0,0.0,0.0
84661d7ffffffff,29.0,17.0,0.0
84661d9ffffffff,13.0,7.0,0.0
84661dbffffffff,6.0,0.0,0.0
84661ddffffffff,58.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466411ffffffff,1.0,0.0,0.0
8466415ffffffff,1.0,0.0,0.0
846641dffffffff,1.0,0.0,0.0
84665abffffffff,48.0,0.0,0.0
84665bdffffffff,101.0,0.0,2.0
8466637ffffffff,2.0,0.0,0.0
84666c5ffffffff,2.0,0.0,0.0
8466765ffffffff,1.0,0.0,0.0
846676dffffffff,1.0,0.0,0.0
8466c05ffffffff,5.0,0.0,0.0
8466c0dffffffff,45.0,0.0,0.0
8466c21ffffffff,88.0,0.0,0.0
8466c23ffffffff,6.0,0.0,0.0
8466c27ffffffff,9.0,0.0,0.0
8466c29ffffffff,81.0,0.0,0.0
8466c2bffffffff,10.0,0.0,0.0
8466c2dffffffff,74.0,0.0,0.0
8466c35ffffffff,6.0,0.0,0.0
8466c37ffffffff,1.0,0.0,0.0
8466c41ffffffff,28.0,0.0,0.0
8466c45ffffffff,13.0,0.0,0.0
8466c47ffffffff,5.0,0.0,0.0
8466c49ffffffff,57.0,0.0,0.0
8466c4dffffffff,41.0,0.0,0.0
8466c53ffffffff,5.0,0.0,0.0
8466c63ffffffff,10.0,2.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466c6bffffffff,6.0,0.0,0.0
8466cc5ffffffff,2.0,0.0,0.0
8466cedffffffff,2.0,0.0,0.0
8466d01ffffffff,16.0,6.0,0.0
8466d05ffffffff,18.0,6.0,0.0
8466d07ffffffff,21.0,13.0,0.0
8466d0dffffffff,166.0,68.0,0.0
8466d13ffffffff,16.0,0.0,3.0
8466d1bffffffff,390.0,0.0,0.0
8466d21ffffffff,4.0,4.0,0.0
8466d23ffffffff,97.0,62.0,0.0
8466d25ffffffff,20.0,7.0,0.0
8466d27ffffffff,37.0,21.0,0.0
8466d31ffffffff,448.0,226.0,0.0
8466d35ffffffff,1399.0,750.0,0.0
8466d37ffffffff,39.0,18.0,0.0
8466d3dffffffff,15.0,2.0,0.0
8466d81ffffffff,37.0,0.0,6.0
8466d8bffffffff,5.0,0.0,3.0
8466d8dffffffff,1.0,0.0,0.0
8466da1ffffffff,9.0,0.0,0.0
8466da3ffffffff,1.0,0.0,0.0
8466da7ffffffff,43.0,0.0,3.0
8466da9ffffffff,5.0,0.0,0.0
8466dadffffffff,149.0,0.0,36.0
8466db1ffffffff,3.0,0.0,1.0
8466db5ffffffff,4.0,0.0,0.0
8466dc3ffffffff,558.0,0.0,64.0
8466dc7ffffffff,4.0,0.0,1.0
8466dcdffffffff,1.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,53.0,0.0,4.0
8466dd9ffffffff,1.0,0.0,1.0
8466dddffffffff,3.0,0.0,0.0
8466de1ffffffff,528.0,0.0,103.0
8466de3ffffffff,88.0,0.0,13.0
8466de7ffffffff,51.0,0.0,6.0
8466de9ffffffff,4.0,0.0,0.0
8466debffffffff,85.0,0.0,15.0
8466e03ffffffff,17.0,0.0,0.0
8466e05ffffffff,1.0,1.0,0.0
8466e0bffffffff,1.0,0.0,0.0
