cell_id,Vireo gilvus,Vireo gilvus gilvus,Vireo gilvus [swainsoni Group]
830c41fffffffff,32.0,0.0,0.0
830c46fffffffff,4.0,0.0,0.0
830ca4fffffffff,24.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0
831233fffffffff,2.0,0.0,0.0
831251fffffffff,3.0,3.0,0.0
831253fffffffff,2.0,2.0,0.0
831254fffffffff,7.0,0.0,7.0
831272fffffffff,2.0,2.0,0.0
831286fffffffff,2.0,0.0,0.0
83128bfffffffff,114.0,0.0,0.0
83128dfffffffff,1.0,0.0,0.0
8312a2fffffffff,3.0,0.0,0.0
8312b0fffffffff,20.0,0.0,0.0
8312b5fffffffff,1.0,0.0,0.0
8312c0fffffffff,9.0,0.0,9.0
8312c1fffffffff,12.0,0.0,2.0
8312c2fffffffff,4.0,0.0,3.0
8312c8fffffffff,18.0,0.0,0.0
8312c9fffffffff,1.0,0.0,1.0
8312cafffffffff,19.0,0.0,1.0
8312cbfffffffff,35.0,0.0,19.0
8312ccfffffffff,44.0,4.0,14.0
8312cdfffffffff,4.0,0.0,2.0
8312cefffffffff,6.0,0.0,2.0
8312d1fffffffff,11.0,0.0,0.0
8312d8fffffffff,10.0,0.0,2.0
8312d9fffffffff,4.0,0.0,2.0
8312dafffffffff,2.0,0.0,2.0
8312ddfffffffff,16.0,0.0,0.0
8312defffffffff,4.0,0.0,2.0
8312eafffffffff,1.0,0.0,0.0
8312ebfffffffff,5.0,5.0,0.0
8312f1fffffffff,3.0,0.0,3.0
8312f6fffffffff,2.0,0.0,0.0
831311fffffffff,3.0,0.0,0.0
831382fffffffff,4.0,0.0,0.0
831383fffffffff,14.0,0.0,0.0
831386fffffffff,9.0,0.0,0.0
83138cfffffffff,22.0,0.0,0.0
83138dfffffffff,5.0,0.0,0.0
831391fffffffff,2.0,0.0,0.0
83139efffffffff,2.0,0.0,0.0
831aa0fffffffff,16.0,2.0,0.0
831aa2fffffffff,12.0,0.0,0.0
831aa3fffffffff,20.0,0.0,0.0
8322dbfffffffff,17.0,0.0,0.0
832601fffffffff,6.0,4.0,0.0
832608fffffffff,7.0,3.0,0.0
832609fffffffff,1.0,0.0,0.0
83260afffffffff,8.0,7.0,0.0
83260bfffffffff,8.0,2.0,0.0
83260dfffffffff,4.0,0.0,0.0
