cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
84260adffffffff,4.0,0.0,0.0,0.0
84260d9ffffffff,7.0,0.0,0.0,0.0
84260e1ffffffff,2.0,0.0,0.0,1.0
84260e3ffffffff,2.0,0.0,0.0,0.0
84260ebffffffff,2.0,0.0,0.0,2.0
8426165ffffffff,1.0,0.0,0.0,0.0
84261e9ffffffff,2.0,0.0,0.0,0.0
8426211ffffffff,2.0,0.0,0.0,0.0
8426219ffffffff,2.0,0.0,0.0,0.0
8426257ffffffff,2.0,0.0,0.0,0.0
8426261ffffffff,7.0,0.0,0.0,0.0
8426263ffffffff,2.0,0.0,0.0,0.0
8426269ffffffff,2.0,0.0,0.0,0.0
842626dffffffff,11.0,0.0,0.0,0.0
8426281ffffffff,6.0,0.0,0.0,0.0
8426289ffffffff,5.0,0.0,0.0,0.0
8426291ffffffff,10.0,0.0,0.0,0.0
84262b3ffffffff,7.0,0.0,0.0,0.0
84262b7ffffffff,4.0,0.0,0.0,0.0
84262c1ffffffff,5.0,0.0,0.0,0.0
84262c9ffffffff,4.0,0.0,0.0,0.0
84262cdffffffff,41.0,0.0,0.0,0.0
84262ddffffffff,9.0,0.0,0.0,0.0
842631dffffffff,2.0,0.0,0.0,0.0
8426347ffffffff,2.0,0.0,0.0,0.0
842634bffffffff,4.0,0.0,0.0,0.0
8426405ffffffff,9.0,0.0,0.0,0.0
8426413ffffffff,1.0,0.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0,0.0
8426417ffffffff,5.0,0.0,0.0,0.0
8426423ffffffff,4.0,0.0,0.0,0.0
842642dffffffff,1.0,0.0,0.0,0.0
8426463ffffffff,30.0,0.0,0.0,0.0
8426481ffffffff,3.0,0.0,0.0,0.0
8426489ffffffff,14.0,0.0,0.0,0.0
842648bffffffff,2.0,0.0,0.0,0.0
842649dffffffff,2.0,0.0,0.0,0.0
84264a7ffffffff,3.0,0.0,0.0,0.0
84264adffffffff,1.0,0.0,0.0,1.0
84264b9ffffffff,2.0,0.0,0.0,0.0
84264c3ffffffff,1.0,0.0,0.0,1.0
84264c5ffffffff,1.0,0.0,0.0,0.0
84264c7ffffffff,30.0,0.0,0.0,23.0
84264d1ffffffff,17.0,0.0,0.0,2.0
84264d3ffffffff,2.0,0.0,0.0,0.0
84264d9ffffffff,3.0,0.0,0.0,0.0
84264dbffffffff,3.0,0.0,0.0,0.0
84264e5ffffffff,29.0,0.0,0.0,0.0
8426547ffffffff,7.0,0.0,0.0,0.0
842654dffffffff,1.0,0.0,0.0,0.0
8426551ffffffff,2.0,0.0,0.0,0.0
8426561ffffffff,1.0,0.0,0.0,0.0
8426599ffffffff,6.0,0.0,0.0,0.0
842659bffffffff,6.0,0.0,0.0,0.0
84265adffffffff,2.0,0.0,0.0,2.0
