cell_id,Tyrannus melancholicus,Tyrannus melancholicus occidentalis,Tyrannus melancholicus satrapa,Tyrannus melancholicus melancholicus/despotes
8312b0fffffffff,18.0,0.0,0.0,0.0
831d24fffffffff,3.0,0.0,0.0,0.0
83262cfffffffff,20.0,0.0,0.0,0.0
832640fffffffff,1.0,0.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0,0.0
832688fffffffff,3.0,0.0,0.0,0.0
83268cfffffffff,52.0,0.0,0.0,0.0
832690fffffffff,2.0,0.0,0.0,0.0
832696fffffffff,5.0,0.0,0.0,0.0
832698fffffffff,4.0,0.0,0.0,0.0
8326c8fffffffff,1.0,0.0,0.0,0.0
832754fffffffff,5.0,0.0,0.0,0.0
832763fffffffff,16.0,0.0,0.0,0.0
83276efffffffff,2.0,0.0,0.0,0.0
832775fffffffff,2.0,0.0,0.0,0.0
832800fffffffff,31.0,0.0,0.0,0.0
832802fffffffff,222.0,0.0,0.0,0.0
832803fffffffff,5.0,0.0,0.0,0.0
832806fffffffff,15.0,0.0,0.0,0.0
832818fffffffff,13.0,0.0,0.0,0.0
832819fffffffff,6.0,0.0,0.0,0.0
83281bfffffffff,36.0,0.0,0.0,0.0
83281cfffffffff,33.0,0.0,0.0,0.0
83281dfffffffff,12.0,0.0,0.0,0.0
83281efffffffff,7.0,0.0,0.0,0.0
832830fffffffff,591.0,0.0,0.0,0.0
832831fffffffff,79.0,0.0,0.0,0.0
832832fffffffff,28.0,0.0,0.0,0.0
832834fffffffff,995.0,0.0,0.0,0.0
832835fffffffff,208.0,0.0,0.0,0.0
832836fffffffff,14.0,0.0,0.0,0.0
8328c2fffffffff,35.0,0.0,0.0,0.0
8328c6fffffffff,87.0,0.0,0.0,0.0
8328d0fffffffff,15.0,0.0,0.0,0.0
8328d1fffffffff,144.0,0.0,0.0,0.0
8328d5fffffffff,10.0,0.0,0.0,0.0
8328d8fffffffff,11.0,0.0,0.0,0.0
8328d9fffffffff,2.0,0.0,0.0,0.0
8328dcfffffffff,395.0,0.0,0.0,0.0
8328ddfffffffff,28.0,0.0,0.0,0.0
8328defffffffff,94.0,0.0,0.0,0.0
