cell_id,Leptopterus chabert,Leptopterus chabert chabert,Leptopterus chabert schistocercus
83a204fffffffff,3.0,0.0,0.0
83a206fffffffff,3.0,0.0,0.0
83a214fffffffff,165.0,4.0,0.0
83a215fffffffff,6.0,0.0,0.0
83a216fffffffff,2.0,0.0,0.0
83a222fffffffff,198.0,0.0,0.0
83a223fffffffff,8.0,0.0,0.0
83a231fffffffff,382.0,14.0,0.0
83a233fffffffff,1.0,0.0,0.0
83a235fffffffff,4.0,0.0,0.0
83a2a3fffffffff,28.0,2.0,0.0
83a2a4fffffffff,16.0,0.0,0.0
83a2a6fffffffff,9.0,0.0,0.0
83a2aefffffffff,11.0,0.0,0.0
83a308fffffffff,8.0,0.0,0.0
83a309fffffffff,14.0,0.0,0.0
83a30afffffffff,2.0,2.0,0.0
83a30cfffffffff,10.0,0.0,0.0
83a30dfffffffff,1.0,0.0,0.0
83a30efffffffff,7.0,0.0,0.0
83a318fffffffff,6.0,0.0,0.0
83a319fffffffff,175.0,3.0,0.0
83a31bfffffffff,4.0,0.0,0.0
83a31cfffffffff,2.0,0.0,0.0
83a31dfffffffff,3.0,0.0,0.0
83a356fffffffff,53.0,0.0,0.0
83a376fffffffff,26.0,0.0,0.0
83a38bfffffffff,9.0,0.0,0.0
83a38cfffffffff,5.0,0.0,0.0
83a38dfffffffff,20.0,0.0,0.0
83a38efffffffff,2.0,0.0,0.0
83a399fffffffff,405.0,0.0,23.0
83a39dfffffffff,15.0,0.0,0.0
83a3a8fffffffff,1.0,0.0,0.0
83a3a9fffffffff,2.0,0.0,0.0
83a3abfffffffff,1.0,0.0,0.0
