cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
835e42fffffffff,3.0,0.0,0.0
835e46fffffffff,11.0,1.0,0.0
835e71fffffffff,6.0,1.0,0.0
835f58fffffffff,2.0,2.0,0.0
835f5bfffffffff,11.0,2.0,0.0
836610fffffffff,10.0,0.0,0.0
836611fffffffff,13.0,0.0,0.0
836613fffffffff,13.0,0.0,0.0
83661bfffffffff,6.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
83661dfffffffff,1.0,1.0,0.0
83661efffffffff,31.0,0.0,0.0
836622fffffffff,1.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0
83662dfffffffff,5.0,0.0,0.0
8366a0fffffffff,3.0,2.0,0.0
8366a5fffffffff,16.0,0.0,0.0
8366b5fffffffff,7.0,0.0,0.0
8366d0fffffffff,9.0,0.0,0.0
8366d5fffffffff,7.0,0.0,0.0
8366dafffffffff,5.0,0.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366defffffffff,9.0,1.0,0.0
8366f0fffffffff,1.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0
8366f5fffffffff,5.0,0.0,0.0
836743fffffffff,1.0,1.0,0.0
83674afffffffff,3.0,0.0,0.0
83674efffffffff,6.0,0.0,0.0
836759fffffffff,5.0,0.0,0.0
83675cfffffffff,12.0,0.0,0.0
83675dfffffffff,1.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0
83815cfffffffff,2.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838171fffffffff,2.0,0.0,0.0
838b22fffffffff,1.0,1.0,0.0
838b44fffffffff,1.0,1.0,0.0
838b61fffffffff,10.0,10.0,0.0
838b63fffffffff,2.0,2.0,0.0
838f0dfffffffff,1.0,0.0,0.0
838f29fffffffff,8.0,0.0,0.0
838f2efffffffff,2.0,0.0,2.0
838f50fffffffff,4.0,0.0,4.0
838f54fffffffff,7.0,0.0,3.0
83a8ecfffffffff,1.0,0.0,0.0
