cell_id,Cryptolybia olivacea,Cryptolybia olivacea olivacea,Cryptolybia olivacea howelli,Cryptolybia olivacea woodwardi,Cryptolybia olivacea rungweensis,Cryptolybia olivacea belcheri
837b48fffffffff,228.0,39.0,0.0,0.0,0.0,0.0
837b49fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,102.0,0.0,0.0,0.0,0.0,0.0
837b4bfffffffff,42.0,15.0,0.0,0.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837b59fffffffff,314.0,0.0,0.0,0.0,0.0,0.0
8396a0fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8396b0fffffffff,20.0,0.0,0.0,1.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8396b5fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8396b6fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
839793fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83bcf0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bcf4fffffffff,123.0,0.0,0.0,46.0,0.0,0.0
83bcf6fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
