cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
84be0d1ffffffff,13.0,0.0,13.0
84be0d3ffffffff,250.0,0.0,250.0
84be0d5ffffffff,580.0,0.0,580.0
84be0d7ffffffff,22.0,0.0,22.0
84be0d9ffffffff,133.0,0.0,133.0
84be0dbffffffff,65.0,0.0,65.0
84be0ddffffffff,332.0,0.0,332.0
84be0e3ffffffff,456.0,0.0,456.0
84be0e7ffffffff,216.0,0.0,216.0
84be181ffffffff,373.0,0.0,372.0
84be183ffffffff,88.0,0.0,88.0
84be185ffffffff,83.0,0.0,83.0
84be187ffffffff,138.0,0.0,138.0
84be189ffffffff,170.0,0.0,170.0
84be18bffffffff,101.0,0.0,101.0
84be18dffffffff,57.0,0.0,56.0
84be191ffffffff,11.0,0.0,11.0
84be193ffffffff,11.0,0.0,11.0
84be195ffffffff,8.0,0.0,8.0
84be197ffffffff,1.0,0.0,1.0
84be199ffffffff,178.0,0.0,178.0
84be19bffffffff,2.0,0.0,2.0
84be19dffffffff,52.0,0.0,52.0
84be1a1ffffffff,103.0,0.0,103.0
84be1a3ffffffff,111.0,0.0,111.0
84be1a5ffffffff,17.0,0.0,17.0
84be1a7ffffffff,15.0,0.0,15.0
84be1a9ffffffff,60.0,0.0,60.0
84be1abffffffff,29.0,0.0,29.0
84be1b1ffffffff,35.0,0.0,35.0
84be1b5ffffffff,11.0,0.0,11.0
84be1b7ffffffff,2.0,0.0,2.0
84be1b9ffffffff,10.0,0.0,10.0
84be1bdffffffff,18.0,0.0,18.0
84be1d1ffffffff,99.0,0.0,99.0
84be1d3ffffffff,188.0,0.0,188.0
84be1d5ffffffff,87.0,0.0,87.0
84be1d7ffffffff,35.0,0.0,35.0
84be1dbffffffff,116.0,0.0,116.0
84be293ffffffff,135.0,0.0,135.0
84be297ffffffff,7.0,0.0,7.0
84be29bffffffff,16.0,0.0,15.0
84be2b3ffffffff,29.0,0.0,29.0
84be401ffffffff,51.0,0.0,51.0
84be403ffffffff,2.0,0.0,2.0
84be405ffffffff,9.0,0.0,9.0
84be407ffffffff,2.0,0.0,2.0
84be409ffffffff,233.0,133.0,94.0
84be40bffffffff,6.0,0.0,6.0
84be40dffffffff,41.0,0.0,41.0
84be419ffffffff,4.0,0.0,4.0
84be41dffffffff,4.0,2.0,2.0
84be425ffffffff,2.0,0.0,2.0
84be427ffffffff,1.0,0.0,1.0
84be429ffffffff,4.0,0.0,4.0
84be431ffffffff,2.0,0.0,2.0
84be439ffffffff,2.0,0.0,2.0
84be441ffffffff,173.0,0.0,173.0
84be443ffffffff,95.0,3.0,92.0
84be445ffffffff,97.0,0.0,97.0
84be447ffffffff,32.0,0.0,31.0
84be449ffffffff,71.0,0.0,71.0
84be44bffffffff,2.0,0.0,2.0
84be44dffffffff,98.0,0.0,98.0
84be451ffffffff,17.0,0.0,17.0
84be453ffffffff,2.0,0.0,2.0
84be455ffffffff,82.0,6.0,71.0
84be457ffffffff,64.0,15.0,48.0
84be459ffffffff,41.0,0.0,41.0
84be45bffffffff,6.0,0.0,6.0
84be45dffffffff,90.0,0.0,90.0
84be461ffffffff,4.0,0.0,4.0
84be463ffffffff,7.0,0.0,7.0
84be469ffffffff,56.0,0.0,56.0
84be46bffffffff,34.0,0.0,34.0
84be46dffffffff,12.0,0.0,12.0
84be481ffffffff,6.0,6.0,0.0
84be485ffffffff,25.0,21.0,4.0
84be487ffffffff,25.0,25.0,0.0
84be489ffffffff,9.0,9.0,0.0
84be48bffffffff,4.0,4.0,0.0
84be48dffffffff,14.0,7.0,7.0
84be491ffffffff,6.0,6.0,0.0
84be493ffffffff,166.0,166.0,0.0
84be495ffffffff,3.0,3.0,0.0
84be497ffffffff,151.0,151.0,0.0
84be49dffffffff,2.0,2.0,0.0
84be4a3ffffffff,6.0,6.0,0.0
84be4a9ffffffff,57.0,38.0,19.0
84be4abffffffff,55.0,42.0,13.0
84be4b1ffffffff,1.0,1.0,0.0
84be4b3ffffffff,14.0,14.0,0.0
84be4b5ffffffff,3.0,3.0,0.0
84be4bbffffffff,1.0,1.0,0.0
84be4c1ffffffff,2.0,2.0,0.0
84be4c3ffffffff,1.0,1.0,0.0
84be4c5ffffffff,5.0,5.0,0.0
84be4c7ffffffff,25.0,10.0,13.0
84be4c9ffffffff,91.0,14.0,76.0
84be4cbffffffff,13.0,11.0,2.0
84be4cdffffffff,57.0,14.0,43.0
84be4d1ffffffff,4.0,4.0,0.0
84be4d3ffffffff,39.0,39.0,0.0
84be4d5ffffffff,20.0,20.0,0.0
84be4d7ffffffff,9.0,9.0,0.0
84be4d9ffffffff,12.0,12.0,0.0
84be4dbffffffff,4.0,3.0,0.0
84be4ddffffffff,13.0,13.0,0.0
84be4e1ffffffff,5.0,0.0,5.0
84be4e3ffffffff,6.0,3.0,3.0
84be4e5ffffffff,41.0,14.0,27.0
84be4e7ffffffff,14.0,6.0,8.0
84be4e9ffffffff,51.0,33.0,18.0
84be4ebffffffff,22.0,4.0,16.0
84be505ffffffff,3.0,0.0,3.0
84be507ffffffff,13.0,0.0,13.0
84be509ffffffff,4.0,0.0,4.0
84be50dffffffff,3.0,0.0,3.0
84be515ffffffff,2.0,0.0,2.0
84be52bffffffff,2.0,0.0,2.0
84be539ffffffff,32.0,0.0,32.0
84be53bffffffff,2.0,0.0,2.0
84be541ffffffff,8.0,0.0,8.0
84be545ffffffff,55.0,0.0,55.0
84be547ffffffff,3.0,0.0,3.0
