cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
845f035ffffffff,1.0,0.0,0.0
845f03dffffffff,7.0,0.0,0.0
845f083ffffffff,3.0,0.0,0.0
845f095ffffffff,2.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f12bffffffff,7.0,0.0,0.0
845f13dffffffff,9.0,0.0,0.0
845f143ffffffff,3.0,0.0,0.0
845f1c3ffffffff,11.0,0.0,0.0
845f1e9ffffffff,3.0,0.0,0.0
845f227ffffffff,3.0,0.0,0.0
845f291ffffffff,4.0,0.0,0.0
845f295ffffffff,21.0,0.0,0.0
845f29dffffffff,30.0,0.0,0.0
845f2b1ffffffff,4.0,0.0,0.0
845f2bbffffffff,34.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f41bffffffff,1.0,0.0,0.0
845f42bffffffff,10.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f487ffffffff,3.0,0.0,0.0
845f49bffffffff,1.0,0.0,0.0
845f4a3ffffffff,9.0,0.0,0.0
845f4a9ffffffff,5.0,0.0,0.0
845f4abffffffff,1.0,0.0,0.0
845f4bdffffffff,3.0,0.0,0.0
845f4e5ffffffff,12.0,0.0,0.0
845f50bffffffff,8.0,0.0,0.0
845f581ffffffff,3.0,0.0,0.0
845f583ffffffff,139.0,0.0,0.0
845f5b9ffffffff,3.0,0.0,0.0
845f5d7ffffffff,4.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0
845f68bffffffff,3.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0
845f759ffffffff,3.0,0.0,0.0
846600dffffffff,1.0,0.0,0.0
8466019ffffffff,2.0,0.0,0.0
8466021ffffffff,15.0,0.0,0.0
8466023ffffffff,14.0,0.0,0.0
8466025ffffffff,63.0,0.0,0.0
8466027ffffffff,6.0,0.0,0.0
8466029ffffffff,6.0,0.0,0.0
846602bffffffff,5.0,0.0,0.0
8466035ffffffff,2.0,0.0,0.0
8466043ffffffff,2.0,0.0,0.0
8466045ffffffff,13.0,0.0,0.0
8466047ffffffff,5.0,0.0,0.0
8466057ffffffff,5.0,0.0,0.0
8466059ffffffff,2.0,0.0,0.0
846605bffffffff,4.0,0.0,0.0
8466063ffffffff,9.0,0.0,0.0
8466067ffffffff,63.0,0.0,0.0
846606bffffffff,6.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0
846608dffffffff,83.0,2.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466093ffffffff,5.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0
846609bffffffff,22.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a5ffffffff,35.0,0.0,0.0
84660a7ffffffff,411.0,4.0,0.0
84660adffffffff,8.0,0.0,0.0
84660b3ffffffff,16.0,0.0,0.0
84660b7ffffffff,7.0,0.0,0.0
84660bbffffffff,3.0,0.0,0.0
