cell_id,Diglossa cyanea,Diglossa cyanea [cyanea Group],Diglossa cyanea melanopis
836608fffffffff,5.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0
8366d3fffffffff,44.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0
8366e6fffffffff,4.0,0.0,0.0
8366f1fffffffff,7.0,0.0,0.0
836741fffffffff,5.0,0.0,0.0
83674efffffffff,7.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
838b61fffffffff,19.0,0.0,19.0
838b6cfffffffff,4.0,0.0,4.0
838f0dfffffffff,4.0,0.0,0.0
838f54fffffffff,7.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
