cell_id,Dendropicos elliotii,Dendropicos elliotii elliotii,Dendropicos elliotii johnstoni
8458d0bffffffff,1.0,0.0,0.0
8458d13ffffffff,4.0,1.0,0.0
8458d1dffffffff,1.0,0.0,0.0
8458d33ffffffff,11.0,0.0,8.0
8458d37ffffffff,7.0,0.0,6.0
8458de5ffffffff,1.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0
846ac15ffffffff,27.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0
846adc1ffffffff,402.0,46.0,0.0
846adc5ffffffff,5.0,0.0,0.0
846ade7ffffffff,56.0,0.0,0.0
846adebffffffff,2.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0
8482125ffffffff,2.0,0.0,0.0
8482883ffffffff,1.0,0.0,0.0
84828d1ffffffff,18.0,0.0,0.0
848290bffffffff,1.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482d03ffffffff,3.0,0.0,2.0
8482d27ffffffff,1.0,0.0,1.0
8482d3dffffffff,25.0,0.0,16.0
8483151ffffffff,1.0,0.0,0.0
8483ac3ffffffff,3.0,0.0,0.0
