cell_id,Pachyglossa agilis,Pachyglossa agilis agilis/zeylonica,Pachyglossa agilis [obsoleta Group],Pachyglossa agilis [aeruginosa Group]
833c02fffffffff,2.0,0.0,0.0,0.0
833c11fffffffff,19.0,0.0,0.0,0.0
833c15fffffffff,2.0,0.0,0.0,0.0
833c1efffffffff,13.0,0.0,0.0,0.0
833c33fffffffff,15.0,0.0,0.0,0.0
833c36fffffffff,18.0,0.0,0.0,0.0
833c80fffffffff,48.0,0.0,0.0,0.0
833c82fffffffff,4.0,0.0,0.0,0.0
833c83fffffffff,10.0,0.0,0.0,0.0
833c84fffffffff,7.0,0.0,0.0,0.0
833c86fffffffff,2.0,0.0,0.0,0.0
833c8cfffffffff,57.0,0.0,0.0,0.0
833c8efffffffff,101.0,0.0,0.0,0.0
833c90fffffffff,65.0,0.0,0.0,0.0
833c92fffffffff,31.0,0.0,0.0,0.0
833c93fffffffff,11.0,0.0,0.0,0.0
833c94fffffffff,174.0,0.0,0.0,0.0
833c95fffffffff,22.0,0.0,0.0,0.0
833c96fffffffff,5.0,0.0,0.0,0.0
833ca0fffffffff,3.0,0.0,0.0,0.0
833ca1fffffffff,4.0,0.0,0.0,0.0
833ca2fffffffff,13.0,0.0,0.0,0.0
833ca3fffffffff,2.0,0.0,0.0,0.0
833ca4fffffffff,34.0,0.0,0.0,0.0
833ca6fffffffff,2.0,0.0,0.0,0.0
833ca8fffffffff,30.0,0.0,0.0,0.0
833ca9fffffffff,13.0,1.0,0.0,0.0
833cabfffffffff,18.0,3.0,0.0,0.0
833cacfffffffff,6.0,0.0,0.0,0.0
833cadfffffffff,17.0,0.0,0.0,0.0
833caefffffffff,17.0,0.0,0.0,0.0
833cb0fffffffff,49.0,0.0,0.0,0.0
833cb1fffffffff,151.0,0.0,0.0,0.0
833cb2fffffffff,13.0,0.0,0.0,0.0
833cb3fffffffff,78.0,0.0,0.0,0.0
833cb4fffffffff,91.0,0.0,0.0,0.0
833cb5fffffffff,296.0,0.0,0.0,0.0
833cb6fffffffff,35.0,0.0,0.0,0.0
833cf6fffffffff,11.0,0.0,0.0,0.0
833d10fffffffff,244.0,0.0,0.0,0.0
833d13fffffffff,166.0,0.0,0.0,0.0
833d14fffffffff,7.0,0.0,0.0,0.0
833d16fffffffff,1.0,0.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0,0.0
833d32fffffffff,2.0,0.0,0.0,0.0
833d34fffffffff,4.0,0.0,0.0,0.0
833d36fffffffff,19.0,0.0,0.0,0.0
833d85fffffffff,5.0,0.0,0.0,0.0
833d86fffffffff,3.0,0.0,0.0,0.0
833d8afffffffff,4.0,0.0,0.0,0.0
833d8bfffffffff,21.0,0.0,0.0,0.0
833d8cfffffffff,8.0,0.0,0.0,0.0
833d8dfffffffff,48.0,0.0,0.0,0.0
833d8efffffffff,2.0,0.0,0.0,0.0
833d90fffffffff,2.0,0.0,0.0,0.0
833d91fffffffff,43.0,0.0,0.0,0.0
833d92fffffffff,27.0,0.0,0.0,0.0
833d93fffffffff,22.0,0.0,0.0,0.0
833d96fffffffff,10.0,0.0,0.0,0.0
833d98fffffffff,94.0,0.0,0.0,0.0
833d99fffffffff,35.0,0.0,0.0,0.0
833d9afffffffff,50.0,0.0,0.0,0.0
833d9bfffffffff,466.0,0.0,0.0,0.0
833d9dfffffffff,47.0,0.0,0.0,0.0
833d9efffffffff,222.0,0.0,0.0,0.0
833da3fffffffff,12.0,0.0,0.0,0.0
833da9fffffffff,24.0,0.0,0.0,0.0
833dabfffffffff,3.0,0.0,0.0,0.0
833dacfffffffff,14.0,0.0,0.0,0.0
833dadfffffffff,110.0,0.0,0.0,0.0
833db2fffffffff,2.0,0.0,0.0,0.0
833db3fffffffff,13.0,0.0,0.0,0.0
834065fffffffff,15.0,0.0,2.0,0.0
834149fffffffff,3.0,0.0,0.0,0.0
83414dfffffffff,2.0,0.0,0.0,0.0
834165fffffffff,2.0,0.0,0.0,0.0
834169fffffffff,2.0,0.0,0.0,0.0
83416afffffffff,1.0,0.0,0.0,0.0
83416bfffffffff,14.0,0.0,0.0,0.0
83416cfffffffff,6.0,0.0,2.0,0.0
83416dfffffffff,4.0,0.0,0.0,0.0
83416efffffffff,1.0,0.0,0.0,0.0
8342c2fffffffff,40.0,0.0,0.0,0.0
8342c8fffffffff,30.0,0.0,0.0,0.0
8342c9fffffffff,1.0,0.0,0.0,0.0
8342cafffffffff,54.0,0.0,0.0,0.0
8342cbfffffffff,30.0,0.0,0.0,0.0
8342ccfffffffff,171.0,0.0,0.0,0.0
8342cdfffffffff,30.0,0.0,0.0,0.0
8342cefffffffff,93.0,0.0,0.0,0.0
8342d1fffffffff,2.0,0.0,0.0,0.0
8342d9fffffffff,129.0,0.0,0.0,0.0
8342dbfffffffff,310.0,0.0,0.0,0.0
8342dcfffffffff,94.0,0.0,0.0,0.0
8342ebfffffffff,22.0,0.0,0.0,0.0
836002fffffffff,17.0,0.0,0.0,0.0
836006fffffffff,150.0,0.0,0.0,0.0
836010fffffffff,14.0,0.0,0.0,0.0
836011fffffffff,192.0,0.0,0.0,0.0
836012fffffffff,11.0,0.0,0.0,0.0
836013fffffffff,42.0,0.0,0.0,0.0
836014fffffffff,113.0,0.0,0.0,0.0
836015fffffffff,264.0,0.0,0.0,0.0
836016fffffffff,42.0,0.0,0.0,0.0
83601afffffffff,2.0,0.0,0.0,0.0
83601efffffffff,110.0,0.0,0.0,0.0
836022fffffffff,25.0,0.0,0.0,0.0
836026fffffffff,76.0,0.0,0.0,0.0
836030fffffffff,34.0,0.0,0.0,0.0
836031fffffffff,512.0,0.0,0.0,0.0
836032fffffffff,99.0,0.0,0.0,0.0
836033fffffffff,226.0,0.0,0.0,0.0
836034fffffffff,8.0,0.0,0.0,0.0
836035fffffffff,109.0,0.0,0.0,0.0
836036fffffffff,3.0,0.0,0.0,0.0
836080fffffffff,4.0,0.0,0.0,0.0
836084fffffffff,17.0,0.0,0.0,0.0
836088fffffffff,441.0,0.0,0.0,0.0
836089fffffffff,3.0,0.0,0.0,0.0
83608afffffffff,80.0,0.0,0.0,0.0
83608bfffffffff,1535.0,0.0,0.0,0.0
83608cfffffffff,18.0,0.0,0.0,0.0
83608dfffffffff,95.0,0.0,0.0,0.0
83608efffffffff,54.0,0.0,0.0,0.0
836090fffffffff,5.0,0.0,0.0,0.0
836091fffffffff,5.0,0.0,0.0,0.0
836092fffffffff,434.0,0.0,0.0,0.0
836093fffffffff,25.0,0.0,0.0,0.0
836094fffffffff,6.0,0.0,0.0,0.0
836095fffffffff,5.0,0.0,0.0,0.0
836096fffffffff,159.0,0.0,0.0,0.0
836098fffffffff,3.0,0.0,0.0,0.0
836099fffffffff,44.0,0.0,0.0,0.0
83609afffffffff,4.0,0.0,0.0,0.0
83609bfffffffff,20.0,0.0,0.0,0.0
83609cfffffffff,7.0,0.0,0.0,0.0
83609dfffffffff,11.0,0.0,0.0,0.0
83609efffffffff,8.0,0.0,0.0,0.0
8360a1fffffffff,7.0,0.0,0.0,0.0
8360a2fffffffff,160.0,0.0,0.0,0.0
8360a6fffffffff,94.0,0.0,0.0,0.0
8360a8fffffffff,81.0,0.0,0.0,0.0
8360a9fffffffff,1121.0,0.0,0.0,0.0
8360aafffffffff,1.0,0.0,0.0,0.0
8360abfffffffff,27.0,0.0,0.0,0.0
8360adfffffffff,284.0,0.0,0.0,0.0
8360b1fffffffff,83.0,0.0,0.0,0.0
8360b2fffffffff,11.0,0.0,0.0,0.0
8360b3fffffffff,7.0,0.0,0.0,0.0
8360b4fffffffff,21.0,0.0,0.0,0.0
8360b5fffffffff,1.0,0.0,0.0,0.0
8360b6fffffffff,2.0,0.0,0.0,0.0
8360f6fffffffff,3.0,0.0,0.0,0.0
836100fffffffff,7.0,2.0,0.0,0.0
836102fffffffff,125.0,10.0,0.0,0.0
836106fffffffff,23.0,3.0,0.0,0.0
836111fffffffff,77.0,7.0,0.0,0.0
