cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
8220b7fffffffff,1.0,0.0,1.0
822c07fffffffff,90.0,9.0,0.0
822c0ffffffffff,2.0,2.0,0.0
822c17fffffffff,3.0,1.0,0.0
822c27fffffffff,10.0,6.0,0.0
822c87fffffffff,9.0,2.0,0.0
822c97fffffffff,25.0,1.0,0.0
822cc7fffffffff,1.0,0.0,0.0
822cd7fffffffff,2.0,2.0,0.0
822ce7fffffffff,1.0,1.0,0.0
822cf7fffffffff,26.0,13.0,0.0
822da7fffffffff,3.0,0.0,0.0
823d07fffffffff,35.0,0.0,10.0
823d17fffffffff,8.0,0.0,0.0
823d27fffffffff,8.0,0.0,2.0
823d37fffffffff,19.0,0.0,0.0
823daffffffffff,5.0,0.0,0.0
824227fffffffff,2.0,0.0,0.0
82424ffffffffff,7.0,0.0,0.0
82431ffffffffff,3.0,3.0,0.0
824367fffffffff,3.0,0.0,0.0
8243affffffffff,1.0,1.0,0.0
