cell_id,Zosterops atriceps,Zosterops atriceps fuscifrons,Zosterops atriceps atriceps
8473901ffffffff,28.0,19.0,0.0
8473905ffffffff,36.0,7.0,0.0
8473907ffffffff,57.0,11.0,0.0
8473909ffffffff,3.0,0.0,0.0
847390bffffffff,90.0,27.0,0.0
847390dffffffff,59.0,14.0,0.0
8473925ffffffff,13.0,0.0,2.0
8473927ffffffff,1.0,0.0,0.0
8473955ffffffff,9.0,1.0,0.0
8473957ffffffff,1.0,0.0,0.0
847395dffffffff,2.0,1.0,0.0
