cell_id,Leucosticte tephrocotis,Leucosticte tephrocotis umbrina,Leucosticte tephrocotis griseonucha,Leucosticte tephrocotis littoralis,Leucosticte tephrocotis [tephrocotis Group],Leucosticte tephrocotis littoralis x [tephrocotis Group]
830c14fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c21fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830c25fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,131.0,0.0,0.0,1.0,0.0,0.0
830c55fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,54.0,0.0,3.0,0.0,0.0,0.0
830c60fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
830c65fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c66fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
830c70fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,60.0,0.0,0.0,9.0,0.0,0.0
830c74fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c75fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
830c76fffffffff,17.0,0.0,0.0,2.0,0.0,0.0
830c80fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cc4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830cccfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cd8fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830cddfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830d09fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830d0bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830d53fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d56fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830d70fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831213fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831214fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831285fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
831288fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83128afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83128dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312abfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312adfffffffff,12.0,0.0,0.0,0.0,2.0,0.0
8312c0fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,204.0,0.0,0.0,6.0,18.0,0.0
8312c2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312c3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312c4fffffffff,46.0,0.0,0.0,0.0,2.0,0.0
8312c5fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
8312c8fffffffff,61.0,0.0,0.0,0.0,14.0,0.0
8312c9fffffffff,5.0,0.0,0.0,0.0,1.0,0.0
8312cafffffffff,37.0,0.0,0.0,0.0,5.0,0.0
8312cbfffffffff,345.0,0.0,0.0,0.0,83.0,0.0
8312ccfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,26.0,0.0,0.0,2.0,1.0,0.0
8312d0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8312d2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
8312dafffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312dcfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,52.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,181.0,0.0,0.0,34.0,23.0,0.0
8312e2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312f0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312f1fffffffff,98.0,0.0,0.0,0.0,14.0,0.0
8312f3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312f4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8312f6fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
831383fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831390fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831395fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83160cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
831650fffffffff,99.0,0.0,43.0,0.0,0.0,0.0
831653fffffffff,30.0,0.0,26.0,0.0,0.0,0.0
831658fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83165efffffffff,155.0,0.0,99.0,0.0,0.0,0.0
831750fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831d20fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83225afffffffff,1007.0,0.0,498.0,0.0,0.0,0.0
8322d0fffffffff,349.0,0.0,194.0,0.0,0.0,0.0
8322dbfffffffff,3187.0,2283.0,0.0,0.0,0.0,0.0
8322e9fffffffff,268.0,0.0,96.0,0.0,0.0,0.0
832680fffffffff,87.0,0.0,0.0,27.0,10.0,0.0
832681fffffffff,1119.0,0.0,0.0,293.0,270.0,0.0
832682fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832683fffffffff,151.0,0.0,0.0,25.0,37.0,0.0
832684fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,427.0,0.0,0.0,105.0,130.0,0.0
832688fffffffff,4.0,0.0,0.0,0.0,2.0,0.0
83268afffffffff,18.0,0.0,0.0,1.0,4.0,0.0
83268bfffffffff,6.0,0.0,0.0,4.0,0.0,0.0
83268cfffffffff,49.0,0.0,0.0,8.0,9.0,0.0
83268efffffffff,338.0,0.0,0.0,86.0,83.0,0.0
832690fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832691fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832693fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832694fffffffff,21.0,0.0,0.0,6.0,5.0,0.0
832695fffffffff,12.0,0.0,0.0,2.0,0.0,0.0
832696fffffffff,1138.0,0.0,0.0,321.0,342.0,0.0
832698fffffffff,10.0,0.0,0.0,3.0,5.0,0.0
832699fffffffff,23.0,0.0,0.0,3.0,3.0,0.0
83269cfffffffff,136.0,0.0,0.0,34.0,25.0,0.0
83269dfffffffff,156.0,0.0,0.0,29.0,26.0,0.0
83269efffffffff,20.0,0.0,0.0,6.0,0.0,0.0
8326a0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326a1fffffffff,8.0,0.0,0.0,2.0,5.0,0.0
8326a2fffffffff,10.0,0.0,0.0,0.0,2.0,0.0
8326a3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326a4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326a6fffffffff,10.0,0.0,0.0,4.0,0.0,0.0
8326aafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326b0fffffffff,92.0,0.0,0.0,13.0,5.0,0.0
8326b1fffffffff,11.0,0.0,0.0,2.0,3.0,0.0
8326b2fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8326b4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8326b5fffffffff,6.0,0.0,0.0,0.0,2.0,0.0
8326b6fffffffff,79.0,0.0,0.0,1.0,5.0,0.0
83278bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832791fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832792fffffffff,310.0,0.0,0.0,76.0,3.0,0.0
832793fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
832798fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832799fffffffff,71.0,0.0,0.0,23.0,7.0,0.0
83279afffffffff,32.0,0.0,0.0,0.0,0.0,0.0
83279bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83279efffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832832fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
832880fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832881fffffffff,44.0,0.0,0.0,4.0,4.0,0.0
832883fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832884fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
832885fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832886fffffffff,126.0,0.0,0.0,21.0,15.0,0.0
832888fffffffff,29.0,0.0,0.0,5.0,0.0,0.0
832889fffffffff,46.0,0.0,0.0,0.0,0.0,0.0
83288afffffffff,98.0,0.0,0.0,4.0,0.0,0.0
83288bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83288cfffffffff,33.0,0.0,0.0,2.0,0.0,0.0
83288dfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83288efffffffff,311.0,0.0,0.0,80.0,38.0,0.0
832890fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
832891fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832892fffffffff,148.0,0.0,0.0,0.0,0.0,0.0
832893fffffffff,20.0,0.0,0.0,0.0,2.0,0.0
832894fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
832895fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832896fffffffff,18.0,0.0,0.0,1.0,0.0,0.0
832898fffffffff,11.0,0.0,0.0,0.0,1.0,0.0
83289afffffffff,4.0,0.0,0.0,1.0,1.0,0.0
83289bfffffffff,31.0,0.0,0.0,1.0,3.0,0.0
83289cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83289efffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8328a1fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8328a2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8328a9fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8328aafffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8328abfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8328b0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328b1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328b3fffffffff,23.0,0.0,0.0,2.0,4.0,0.0
8328b5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8328b6fffffffff,209.0,0.0,0.0,51.0,42.0,0.0
8328d0fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8328d2fffffffff,79.0,0.0,0.0,10.0,1.0,0.0
8328d3fffffffff,46.0,0.0,0.0,2.0,0.0,0.0
8328d4fffffffff,331.0,0.0,0.0,47.0,0.0,0.0
8328d6fffffffff,62.0,0.0,0.0,16.0,4.0,0.0
8328dafffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8328defffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8328f2fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8328f3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8328f5fffffffff,51.0,0.0,0.0,14.0,0.0,0.0
8328f6fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
832985fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832989fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
83298cfffffffff,291.0,0.0,0.0,0.0,14.0,0.0
83298dfffffffff,391.0,0.0,0.0,0.0,0.0,0.0
832990fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832992fffffffff,4.0,0.0,0.0,0.0,2.0,0.0
83299bfffffffff,77.0,0.0,0.0,6.0,8.0,0.0
8329aafffffffff,846.0,0.0,0.0,0.0,2.0,0.0
8329abfffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8329aefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8348d8fffffffff,1724.0,0.0,0.0,515.0,598.0,0.0
8348dafffffffff,3.0,0.0,0.0,2.0,1.0,0.0
8348dbfffffffff,12.0,0.0,0.0,0.0,4.0,0.0
