cell_id,Leptotila verreauxi,Leptotila verreauxi [verreauxi Group],Leptotila verreauxi decolor,Leptotila verreauxi [brasiliensis Group]
824417fffffffff,1.0,0.0,0.0,0.0
824507fffffffff,1.0,0.0,0.0,0.0
82450ffffffffff,9.0,3.0,0.0,0.0
824527fffffffff,25.0,14.0,0.0,0.0
82452ffffffffff,7.0,0.0,0.0,0.0
824537fffffffff,2.0,0.0,0.0,0.0
82480ffffffffff,1.0,0.0,0.0,0.0
824887fffffffff,124.0,0.0,0.0,0.0
82488ffffffffff,119.0,0.0,0.0,0.0
824897fffffffff,56.0,0.0,0.0,0.0
82489ffffffffff,355.0,5.0,0.0,0.0
8248a7fffffffff,6.0,0.0,0.0,0.0
8248affffffffff,3.0,0.0,0.0,0.0
8248b7fffffffff,26.0,12.0,0.0,0.0
8248effffffffff,74.0,1.0,0.0,0.0
824987fffffffff,10.0,2.0,0.0,0.0
824997fffffffff,15.0,2.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0
8249affffffffff,6.0,4.0,0.0,0.0
8249b7fffffffff,3.0,0.0,0.0,0.0
825f4ffffffffff,2.0,0.0,0.0,0.0
825f5ffffffffff,22.0,8.0,0.0,0.0
82660ffffffffff,1.0,0.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0
82661ffffffffff,12.0,0.0,0.0,0.0
82662ffffffffff,3.0,3.0,0.0,0.0
826647fffffffff,6.0,0.0,0.0,0.0
826657fffffffff,4.0,0.0,0.0,0.0
826677fffffffff,11.0,0.0,0.0,0.0
8266b7fffffffff,31.0,13.0,0.0,0.0
8266cffffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,37.0,0.0,0.0,0.0
8266dffffffffff,44.0,0.0,0.0,0.0
8266e7fffffffff,7.0,7.0,0.0,0.0
8266effffffffff,5.0,0.0,0.0,0.0
826747fffffffff,49.0,3.0,0.0,0.0
82674ffffffffff,21.0,0.0,0.0,0.0
826757fffffffff,41.0,0.0,0.0,0.0
82675ffffffffff,22.0,4.0,0.0,0.0
82676ffffffffff,3.0,0.0,0.0,0.0
826d27fffffffff,34.0,8.0,0.0,0.0
826d2ffffffffff,16.0,8.0,0.0,0.0
826d37fffffffff,12.0,2.0,0.0,0.0
826d67fffffffff,4.0,0.0,0.0,0.0
826d6ffffffffff,156.0,115.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0,1.0
828b27fffffffff,17.0,0.0,0.0,17.0
828b47fffffffff,17.0,0.0,0.0,0.0
828b67fffffffff,11.0,0.0,0.0,0.0
828b6ffffffffff,4.0,0.0,0.0,4.0
828e67fffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,14.0,0.0,0.0,14.0
828f57fffffffff,9.0,0.0,9.0,0.0
828f77fffffffff,20.0,0.0,3.0,0.0
82a92ffffffffff,1.0,0.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0,1.0
82a967fffffffff,113.0,0.0,0.0,0.0
82a96ffffffffff,68.0,0.0,0.0,0.0
82b24ffffffffff,659.0,0.0,0.0,0.0
82b25ffffffffff,1.0,0.0,0.0,1.0
82b267fffffffff,14.0,0.0,0.0,0.0
82b26ffffffffff,359.0,0.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0,0.0
82b2effffffffff,39.0,0.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0,0.0
82b34ffffffffff,1.0,0.0,0.0,1.0
82b357fffffffff,2.0,0.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0
82b367fffffffff,1.0,0.0,0.0,0.0
82c2c7fffffffff,4.0,0.0,0.0,2.0
82c2cffffffffff,424.0,0.0,0.0,0.0
82c2e7fffffffff,1.0,0.0,0.0,0.0
82c2effffffffff,21.0,0.0,0.0,0.0
