cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
825f07fffffffff,51.0,0.0,0.0
825f0ffffffffff,88.0,0.0,0.0
825f17fffffffff,19.0,0.0,0.0
825f1ffffffffff,69.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f2ffffffffff,152.0,0.0,0.0
825f47fffffffff,20.0,0.0,0.0
825f4ffffffffff,81.0,0.0,0.0
825f57fffffffff,9.0,0.0,0.0
825f5ffffffffff,2486.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,15.0,0.0,0.0
825f77fffffffff,44.0,0.0,0.0
826607fffffffff,315.0,0.0,0.0
82660ffffffffff,2480.0,0.0,0.0
826617fffffffff,2939.0,0.0,0.0
82661ffffffffff,5540.0,1.0,0.0
826627fffffffff,832.0,4.0,0.0
82662ffffffffff,193.0,0.0,0.0
826637fffffffff,240.0,0.0,0.0
826647fffffffff,135.0,0.0,0.0
826657fffffffff,193.0,0.0,0.0
82665ffffffffff,716.0,0.0,0.0
826667fffffffff,29.0,0.0,0.0
82666ffffffffff,11.0,0.0,0.0
826677fffffffff,102.0,0.0,0.0
8266a7fffffffff,2054.0,0.0,0.0
8266c7fffffffff,2008.0,0.0,0.0
8266cffffffffff,96.0,0.0,0.0
8266d7fffffffff,446.0,0.0,278.0
8266dffffffffff,2216.0,5.0,0.0
8266e7fffffffff,5761.0,2.0,0.0
8266effffffffff,460.0,0.0,0.0
8266f7fffffffff,3989.0,0.0,0.0
826747fffffffff,147.0,0.0,0.0
82674ffffffffff,1367.0,0.0,0.0
826757fffffffff,292.0,0.0,0.0
82675ffffffffff,173.0,0.0,0.0
828007fffffffff,4.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0
828017fffffffff,3.0,0.0,0.0
828037fffffffff,3.0,0.0,0.0
828047fffffffff,203.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,5.0,0.0,0.0
828107fffffffff,9.0,0.0,0.0
828117fffffffff,4.0,0.0,0.0
828127fffffffff,22.0,0.0,0.0
82812ffffffffff,3.0,0.0,0.0
828137fffffffff,220.0,0.0,0.0
828147fffffffff,28.0,0.0,0.0
82814ffffffffff,136.0,0.0,0.0
828157fffffffff,2.0,0.0,0.0
82815ffffffffff,39.0,0.0,0.0
828167fffffffff,31.0,0.0,0.0
828177fffffffff,36.0,0.0,0.0
828187fffffffff,282.0,0.0,0.0
82818ffffffffff,9.0,0.0,0.0
8281a7fffffffff,6.0,0.0,0.0
8281affffffffff,5.0,0.0,0.0
828a07fffffffff,21.0,0.0,0.0
828a17fffffffff,14.0,0.0,0.0
828a1ffffffffff,3.0,0.0,0.0
828a27fffffffff,11.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,284.0,2.0,0.0
828a4ffffffffff,6.0,0.0,0.0
828a57fffffffff,6.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,411.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828a9ffffffffff,10.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0
828aaffffffffff,15.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828adffffffffff,45.0,2.0,0.0
828af7fffffffff,96.0,4.0,0.0
828b07fffffffff,5.0,0.0,0.0
828b0ffffffffff,40.0,0.0,0.0
828b17fffffffff,11.0,0.0,0.0
828b1ffffffffff,8.0,0.0,0.0
828b27fffffffff,59.0,0.0,0.0
828b2ffffffffff,51.0,0.0,0.0
828b47fffffffff,182.0,0.0,0.0
828b4ffffffffff,9.0,0.0,0.0
828b57fffffffff,29.0,0.0,0.0
828b5ffffffffff,12.0,0.0,0.0
828b67fffffffff,95.0,0.0,0.0
828b6ffffffffff,9.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0
828b87fffffffff,121.0,0.0,0.0
828b8ffffffffff,35.0,0.0,0.0
828b9ffffffffff,613.0,0.0,0.0
828ba7fffffffff,30.0,0.0,0.0
828bb7fffffffff,205.0,0.0,0.0
828e67fffffffff,44.0,0.0,0.0
828f0ffffffffff,13.0,0.0,13.0
828f27fffffffff,4.0,0.0,4.0
828f2ffffffffff,300.0,0.0,277.0
828f47fffffffff,703.0,0.0,0.0
