cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
8445233ffffffff,3.0,2.0,0.0,0.0
8445257ffffffff,1.0,0.0,0.0,0.0
84452a9ffffffff,9.0,6.0,0.0,0.0
84452adffffffff,2.0,0.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0,0.0
84452e7ffffffff,7.0,0.0,0.0,0.0
845f583ffffffff,15.0,0.0,7.0,0.0
845f595ffffffff,2.0,0.0,0.0,0.0
845f5b5ffffffff,15.0,0.0,0.0,0.0
8466113ffffffff,1.0,1.0,0.0,0.0
8466a01ffffffff,1.0,0.0,0.0,0.0
8466a21ffffffff,2.0,0.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0
8466d03ffffffff,5.0,0.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0,0.0
8466d3dffffffff,4.0,0.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0,0.0
846743dffffffff,4.0,0.0,0.0,0.0
84674ebffffffff,1.0,0.0,0.0,0.0
84675a9ffffffff,1.0,0.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0,0.0
84679a5ffffffff,13.0,7.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0
846d2c3ffffffff,5.0,0.0,0.0,0.0
846d2c9ffffffff,8.0,7.0,0.0,0.0
846d2cbffffffff,2.0,2.0,0.0,0.0
846d35dffffffff,2.0,0.0,0.0,0.0
846d689ffffffff,2.0,0.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0,0.0
846d69dffffffff,4.0,2.0,0.0,0.0
8480237ffffffff,2.0,0.0,0.0,0.0
848a003ffffffff,24.0,0.0,0.0,0.0
848a01dffffffff,3.0,0.0,0.0,0.0
848a05bffffffff,3.0,0.0,0.0,0.0
848a109ffffffff,3.0,0.0,0.0,0.0
848a155ffffffff,9.0,0.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0,0.0
848a337ffffffff,8.0,0.0,0.0,0.0
848a35dffffffff,1.0,0.0,0.0,0.0
848f2a9ffffffff,1.0,0.0,0.0,0.0
84a8289ffffffff,1.0,0.0,0.0,0.0
84a95a5ffffffff,1.0,0.0,0.0,0.0
