cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
834505fffffffff,15.0,0.0,0.0
83450afffffffff,1.0,0.0,0.0
834520fffffffff,123.0,0.0,0.0
834521fffffffff,231.0,0.0,0.0
834522fffffffff,238.0,0.0,0.0
834523fffffffff,626.0,0.0,0.0
834525fffffffff,14.0,0.0,0.0
834528fffffffff,293.0,0.0,0.0
83452afffffffff,327.0,0.0,0.0
83452bfffffffff,5.0,0.0,0.0
83452cfffffffff,89.0,0.0,0.0
83452dfffffffff,231.0,0.0,0.0
83452efffffffff,3699.0,0.0,0.0
834530fffffffff,23.0,0.0,0.0
834531fffffffff,11.0,0.0,0.0
834532fffffffff,71.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834536fffffffff,104.0,0.0,0.0
834564fffffffff,4.0,0.0,0.0
8366a0fffffffff,225.0,0.0,0.0
8366a5fffffffff,157.0,0.0,0.0
8366a6fffffffff,6.0,0.0,0.0
8366b4fffffffff,960.0,0.0,0.0
8366b5fffffffff,239.0,0.0,0.0
836790fffffffff,3.0,0.0,0.0
836792fffffffff,18.0,0.0,0.0
836793fffffffff,7.0,0.0,0.0
836794fffffffff,8.0,0.0,0.0
836796fffffffff,232.0,0.0,0.0
83679afffffffff,2824.0,0.0,0.0
83679bfffffffff,102.0,0.0,0.0
836d21fffffffff,154.0,0.0,0.0
836d22fffffffff,37.0,0.0,0.0
836d23fffffffff,301.0,0.0,0.0
836d2cfffffffff,422.0,0.0,0.0
836d2dfffffffff,217.0,0.0,0.0
836d30fffffffff,164.0,0.0,0.0
836d31fffffffff,137.0,0.0,0.0
836d34fffffffff,28.0,0.0,0.0
836d35fffffffff,166.0,0.0,0.0
836d36fffffffff,9.0,0.0,0.0
836d65fffffffff,32.0,0.0,0.0
836d68fffffffff,728.0,0.0,0.0
836d69fffffffff,3070.0,0.0,0.0
836d6dfffffffff,174.0,0.0,0.0
