cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
8212d7fffffffff,4.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0
822687fffffffff,7.0,0.0,0.0
82268ffffffffff,147.0,5.0,0.0
822697fffffffff,96.0,2.0,0.0
82269ffffffffff,124.0,2.0,0.0
8226b7fffffffff,2.0,0.0,0.0
8226c7fffffffff,1.0,0.0,0.0
8226d7fffffffff,2.0,0.0,0.0
8226dffffffffff,5.0,0.0,0.0
822757fffffffff,38.0,2.0,0.0
8227affffffffff,2.0,0.0,0.0
822807fffffffff,6.0,2.0,0.0
822817fffffffff,189.0,3.0,0.0
82281ffffffffff,133.0,0.0,0.0
822837fffffffff,3544.0,32.0,0.0
822887fffffffff,9.0,0.0,0.0
82288ffffffffff,42.0,1.0,0.0
8228affffffffff,17.0,0.0,0.0
8228d7fffffffff,184.0,2.0,0.0
8228dffffffffff,32.0,0.0,0.0
8228f7fffffffff,230.0,0.0,0.0
822917fffffffff,40.0,17.0,0.0
82291ffffffffff,20.0,6.0,0.0
822987fffffffff,39.0,0.0,0.0
82298ffffffffff,31.0,0.0,0.0
822997fffffffff,9.0,0.0,0.0
8229a7fffffffff,351.0,16.0,0.0
8229affffffffff,226.0,10.0,0.0
8229b7fffffffff,34.0,27.0,0.0
82446ffffffffff,1.0,0.0,0.0
824527fffffffff,50.0,7.0,0.0
82452ffffffffff,108.0,0.0,0.0
82480ffffffffff,4.0,4.0,0.0
824817fffffffff,2.0,1.0,0.0
82482ffffffffff,21.0,0.0,14.0
82485ffffffffff,17.0,0.0,0.0
824887fffffffff,1.0,0.0,0.0
82488ffffffffff,4.0,0.0,0.0
82489ffffffffff,57.0,0.0,0.0
8248a7fffffffff,15.0,14.0,0.0
8248affffffffff,13.0,11.0,0.0
8248c7fffffffff,127.0,37.0,0.0
8248cffffffffff,226.0,48.0,0.0
8248d7fffffffff,7.0,6.0,0.0
8248dffffffffff,140.0,0.0,0.0
8248e7fffffffff,2.0,2.0,0.0
8248effffffffff,674.0,304.0,0.0
8248f7fffffffff,12.0,10.0,0.0
824987fffffffff,91.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,26.0,6.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249a7fffffffff,4.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0
8249b7fffffffff,7.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0
82661ffffffffff,16.0,0.0,0.0
8266b7fffffffff,20.0,12.0,0.0
8266c7fffffffff,7.0,5.0,0.0
8266e7fffffffff,15.0,3.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826d27fffffffff,22.0,11.0,0.0
826d2ffffffffff,22.0,5.0,0.0
826d67fffffffff,2.0,0.0,0.0
826d6ffffffffff,28.0,0.0,0.0
