cell_id,Artamus cinereus,Artamus cinereus normani/inkermani,Artamus cinereus [cinereus Group]
829407fffffffff,1.0,0.0,0.0
829457fffffffff,2.0,0.0,2.0
82945ffffffffff,2.0,0.0,2.0
82948ffffffffff,2.0,0.0,2.0
8294cffffffffff,2.0,0.0,2.0
8294effffffffff,10.0,0.0,10.0
829c4ffffffffff,2.0,0.0,2.0
829c6ffffffffff,3.0,0.0,3.0
829c77fffffffff,2.0,2.0,0.0
829d27fffffffff,2.0,0.0,0.0
82a707fffffffff,2.0,0.0,2.0
82a717fffffffff,6.0,0.0,6.0
82a71ffffffffff,1.0,0.0,1.0
82a737fffffffff,1.0,0.0,1.0
82b887fffffffff,2.0,0.0,2.0
82b8affffffffff,2.0,0.0,2.0
82b997fffffffff,1.0,0.0,0.0
82be47fffffffff,2.0,0.0,0.0
82be57fffffffff,8.0,0.0,0.0
82be77fffffffff,1.0,0.0,0.0
82be8ffffffffff,1.0,0.0,0.0
82bee7fffffffff,2.0,0.0,0.0
82beeffffffffff,2.0,0.0,0.0
82bef7fffffffff,9.0,0.0,0.0
82c997fffffffff,9.0,0.0,5.0
82c9b7fffffffff,4.0,0.0,4.0
