cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
845f583ffffffff,1.0,0.0,1.0
845f5b5ffffffff,8.0,0.0,1.0
84665abffffffff,5.0,5.0,0.0
8466cdbffffffff,1.0,1.0,0.0
8467425ffffffff,1.0,0.0,0.0
8467437ffffffff,1.0,0.0,0.0
848a05bffffffff,2.0,2.0,0.0
848a069ffffffff,3.0,3.0,0.0
848a313ffffffff,2.0,2.0,0.0
848a699ffffffff,5.0,0.0,5.0
848a6dbffffffff,2.0,2.0,0.0
848ada3ffffffff,11.0,0.0,0.0
848b617ffffffff,2.0,0.0,0.0
848b693ffffffff,8.0,8.0,0.0
848f401ffffffff,2.0,0.0,0.0
848f655ffffffff,2.0,2.0,0.0
84a945bffffffff,2.0,0.0,0.0
84a946bffffffff,1.0,0.0,1.0
84a94ddffffffff,3.0,0.0,0.0
84a95edffffffff,1.0,0.0,0.0
84a9617ffffffff,12.0,0.0,0.0
84a9631ffffffff,2.0,0.0,0.0
84a9645ffffffff,13.0,0.0,0.0
84a964dffffffff,5.0,0.0,0.0
84a9653ffffffff,6.0,0.0,0.0
84a9717ffffffff,4.0,0.0,0.0
84b343bffffffff,2.0,0.0,0.0
84b349dffffffff,2.0,0.0,0.0
84b34b9ffffffff,2.0,0.0,0.0
84b34d1ffffffff,4.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0
84b34e9ffffffff,2.0,0.0,0.0
84b3583ffffffff,3.0,0.0,3.0
84b3589ffffffff,4.0,0.0,0.0
84c2cb1ffffffff,3.0,0.0,0.0
84c2cbdffffffff,2.0,0.0,0.0
84c2cd3ffffffff,1.0,0.0,0.0
84c2d93ffffffff,14.0,0.0,0.0
84c2d9bffffffff,18.0,0.0,0.0
