cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
8444249ffffffff,251.0,0.0,0.0,0.0,0.0
844424dffffffff,65.0,0.0,8.0,0.0,0.0
8445011ffffffff,52.0,0.0,0.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0,0.0,0.0
8445019ffffffff,431.0,0.0,19.0,0.0,0.0
844501bffffffff,91.0,0.0,11.0,0.0,0.0
8445053ffffffff,72.0,0.0,7.0,0.0,0.0
8445057ffffffff,87.0,0.0,1.0,0.0,0.0
8445059ffffffff,100.0,0.0,0.0,0.0,0.0
844505bffffffff,509.0,0.0,34.0,0.0,0.0
8445081ffffffff,11.0,0.0,0.0,0.0,0.0
8445083ffffffff,139.0,0.0,0.0,0.0,0.0
8445085ffffffff,90.0,0.0,4.0,0.0,0.0
8445087ffffffff,371.0,0.0,0.0,0.0,0.0
8445089ffffffff,16.0,0.0,0.0,0.0,0.0
844508bffffffff,4.0,0.0,0.0,0.0,0.0
844508dffffffff,75.0,0.0,0.0,0.0,0.0
8445091ffffffff,130.0,0.0,0.0,0.0,0.0
8445093ffffffff,94.0,0.0,0.0,0.0,0.0
8445095ffffffff,3.0,0.0,0.0,0.0,0.0
8445097ffffffff,49.0,0.0,0.0,0.0,0.0
8445099ffffffff,272.0,0.0,0.0,0.0,0.0
844509bffffffff,1487.0,0.0,0.0,0.0,0.0
844509dffffffff,2.0,0.0,0.0,0.0,0.0
84450a1ffffffff,522.0,0.0,7.0,0.0,0.0
84450a3ffffffff,131.0,0.0,0.0,0.0,0.0
84450a5ffffffff,152.0,0.0,6.0,0.0,0.0
84450a7ffffffff,188.0,0.0,13.0,0.0,0.0
84450a9ffffffff,166.0,0.0,16.0,0.0,0.0
84450abffffffff,62.0,0.0,1.0,0.0,0.0
84450adffffffff,56.0,0.0,8.0,0.0,0.0
84450b1ffffffff,695.0,0.0,0.0,0.0,0.0
84450b5ffffffff,192.0,0.0,0.0,0.0,0.0
84450b9ffffffff,59.0,0.0,0.0,0.0,0.0
84450bbffffffff,3.0,0.0,0.0,0.0,0.0
84450bdffffffff,51.0,0.0,0.0,0.0,0.0
84450c1ffffffff,13.0,0.0,1.0,0.0,0.0
84450c3ffffffff,4.0,0.0,0.0,0.0,0.0
84450c5ffffffff,127.0,0.0,7.0,0.0,0.0
84450c7ffffffff,4.0,0.0,0.0,0.0,0.0
84450c9ffffffff,8.0,0.0,0.0,0.0,0.0
84450cdffffffff,26.0,0.0,0.0,0.0,0.0
84450d1ffffffff,10.0,0.0,0.0,0.0,0.0
84450d3ffffffff,198.0,0.0,0.0,0.0,0.0
84450d5ffffffff,33.0,0.0,0.0,0.0,0.0
84450d7ffffffff,25.0,0.0,0.0,0.0,0.0
84450d9ffffffff,4.0,0.0,0.0,0.0,0.0
84450ddffffffff,10.0,0.0,0.0,0.0,0.0
84450e1ffffffff,25.0,0.0,0.0,0.0,0.0
84450e3ffffffff,139.0,0.0,0.0,0.0,0.0
84450e7ffffffff,6.0,0.0,0.0,0.0,0.0
84450e9ffffffff,1.0,0.0,0.0,0.0,0.0
84450ebffffffff,157.0,0.0,25.0,0.0,0.0
844519bffffffff,194.0,0.0,42.0,0.0,0.0
8445203ffffffff,24.0,0.0,0.0,0.0,0.0
8445207ffffffff,1.0,0.0,0.0,0.0,0.0
8445213ffffffff,6.0,0.0,0.0,0.0,0.0
8445215ffffffff,1654.0,0.0,65.0,0.0,0.0
8445217ffffffff,30.0,0.0,0.0,0.0,0.0
844521dffffffff,53.0,0.0,0.0,0.0,0.0
8445227ffffffff,5.0,0.0,0.0,0.0,0.0
8445231ffffffff,4.0,0.0,2.0,0.0,0.0
8445233ffffffff,427.0,0.0,11.0,0.0,0.0
844523bffffffff,249.0,0.0,5.0,0.0,0.0
8445281ffffffff,27.0,0.0,0.0,0.0,0.0
8445283ffffffff,2.0,0.0,2.0,0.0,0.0
8445285ffffffff,20.0,0.0,3.0,0.0,0.0
