cell_id,Setophaga petechia,Setophaga petechia [aestiva Group],Setophaga petechia [erithachorides Group],Setophaga petechia aureola,Setophaga petechia [petechia Group],Setophaga petechia [erithachorides Group x petechia Group]
84075d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84075d9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c141ffffffff,8.0,5.0,0.0,0.0,0.0,0.0
840c143ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c147ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840c14bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c2dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c415ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840c455ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c461ffffffff,5.0,5.0,0.0,0.0,0.0,0.0
840c465ffffffff,6.0,6.0,0.0,0.0,0.0,0.0
840c46dffffffff,7.0,7.0,0.0,0.0,0.0,0.0
840c503ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c527ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,14.0,1.0,0.0,0.0,0.0,0.0
840c74dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ca43ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840cd8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d039ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d595ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d5a9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d605ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d619ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d723ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d729ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d753ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e45bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,12.0,12.0,0.0,0.0,0.0,0.0
840e897ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e89bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ec19ffffffff,64.0,1.0,0.0,0.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ecc1ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
840ecc9ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840ed45ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ed4dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840ee85ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eea7ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840eeabffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840eee3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ef1dffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412433ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412505ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412515ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
841253bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412591ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412597ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412861ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841286dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,97.0,0.0,0.0,0.0,0.0,0.0
8412909ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412b01ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
