cell_id,Cacicus cela,Cacicus cela flavicrissus/vitellinus,Cacicus cela cela
8444123ffffffff,1.0,0.0,0.0
845f583ffffffff,4.0,0.0,4.0
845f5b9ffffffff,7.0,0.0,7.0
84660b9ffffffff,1.0,0.0,0.0
8466107ffffffff,6.0,0.0,0.0
8466113ffffffff,13.0,0.0,0.0
8466139ffffffff,11.0,0.0,0.0
8466163ffffffff,4.0,0.0,0.0
84661b1ffffffff,2.0,0.0,0.0
84661cdffffffff,37.0,0.0,0.0
84661ebffffffff,10.0,0.0,0.0
8466203ffffffff,2.0,0.0,0.0
8466217ffffffff,4.0,0.0,0.0
84665abffffffff,4.0,0.0,0.0
8466a0bffffffff,6.0,0.0,0.0
8466a51ffffffff,1.0,0.0,0.0
8466d1bffffffff,2.0,0.0,2.0
8466d31ffffffff,2.0,0.0,0.0
8466d35ffffffff,2.0,2.0,0.0
8466dc3ffffffff,1.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466de3ffffffff,6.0,0.0,0.0
8466f57ffffffff,1.0,0.0,0.0
8467599ffffffff,3.0,0.0,3.0
84675c7ffffffff,3.0,0.0,0.0
84675cbffffffff,1.0,0.0,0.0
8480445ffffffff,2.0,0.0,0.0
84812d1ffffffff,1.0,0.0,1.0
848162bffffffff,2.0,0.0,0.0
848180bffffffff,3.0,0.0,0.0
848185dffffffff,4.0,0.0,0.0
848a003ffffffff,6.0,0.0,0.0
848a059ffffffff,1.0,0.0,0.0
848a05dffffffff,1.0,0.0,1.0
848a217ffffffff,1.0,0.0,1.0
848a451ffffffff,3.0,0.0,0.0
848a45dffffffff,8.0,0.0,0.0
848a699ffffffff,1.0,0.0,0.0
848af45ffffffff,2.0,0.0,0.0
848b5cdffffffff,11.0,0.0,11.0
848b617ffffffff,8.0,0.0,8.0
848b63bffffffff,13.0,0.0,13.0
848b6edffffffff,15.0,0.0,15.0
848f08bffffffff,2.0,1.0,0.0
848f099ffffffff,3.0,0.0,0.0
848f0d3ffffffff,113.0,15.0,0.0
848f0d7ffffffff,3.0,3.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f295ffffffff,41.0,0.0,0.0
848f2bbffffffff,17.0,3.0,0.0
848f2bdffffffff,2.0,0.0,0.0
848f2d5ffffffff,1.0,1.0,0.0
848f401ffffffff,3.0,0.0,3.0
848f407ffffffff,2.0,0.0,2.0
848f465ffffffff,1.0,0.0,1.0
848f633ffffffff,1.0,0.0,0.0
848f6e9ffffffff,14.0,0.0,0.0
848f6edffffffff,4.0,0.0,0.0
848f765ffffffff,8.0,0.0,0.0
84a8101ffffffff,2.0,0.0,0.0
84a8c2bffffffff,2.0,0.0,0.0
