cell_id,Pachycephala calliope,Pachycephala calliope [fulvotincta Group],Pachycephala calliope calliope
828d87fffffffff,6.0,0.0,0.0
828da7fffffffff,31.0,3.0,0.0
828db7fffffffff,162.0,0.0,0.0
829427fffffffff,97.0,5.0,59.0
82942ffffffffff,81.0,0.0,81.0
82950ffffffffff,13.0,0.0,0.0
829517fffffffff,9.0,0.0,0.0
82951ffffffffff,307.0,71.0,0.0
829557fffffffff,36.0,0.0,7.0
8295a7fffffffff,24.0,0.0,0.0
8295affffffffff,137.0,54.0,0.0
