cell_id,Upupa epops,Upupa epops [epops Group],Upupa epops senegalensis/waibeli,Upupa epops africana
82089ffffffffff,4.0,0.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0,0.0
820bb7fffffffff,2.0,0.0,0.0,0.0
821097fffffffff,1.0,0.0,0.0,0.0
821187fffffffff,3.0,0.0,0.0,0.0
82118ffffffffff,30.0,5.0,0.0,0.0
8211affffffffff,2.0,1.0,0.0,0.0
8211b7fffffffff,7.0,0.0,0.0,0.0
821497fffffffff,4.0,0.0,0.0,0.0
8214affffffffff,59.0,0.0,0.0,0.0
821597fffffffff,70.0,5.0,0.0,0.0
82159ffffffffff,8.0,2.0,0.0,0.0
8215b7fffffffff,26.0,0.0,0.0,0.0
821847fffffffff,10.0,0.0,0.0,0.0
82184ffffffffff,315.0,2.0,0.0,0.0
82185ffffffffff,9.0,0.0,0.0,0.0
821867fffffffff,4.0,0.0,0.0,0.0
82186ffffffffff,120.0,10.0,0.0,0.0
821877fffffffff,2.0,2.0,0.0,0.0
821e07fffffffff,404.0,49.0,0.0,0.0
821e0ffffffffff,1094.0,23.0,0.0,0.0
821e17fffffffff,111.0,6.0,0.0,0.0
821e1ffffffffff,425.0,14.0,0.0,0.0
821e27fffffffff,71.0,0.0,0.0,0.0
821e2ffffffffff,88.0,0.0,0.0,0.0
821e37fffffffff,118.0,0.0,0.0,0.0
821e47fffffffff,56.0,0.0,0.0,0.0
821e4ffffffffff,48.0,0.0,0.0,0.0
821e57fffffffff,113.0,0.0,0.0,0.0
821e5ffffffffff,541.0,26.0,0.0,0.0
821e67fffffffff,58.0,0.0,0.0,0.0
821e6ffffffffff,83.0,0.0,0.0,0.0
821e77fffffffff,22.0,0.0,0.0,0.0
821e87fffffffff,174.0,36.0,0.0,0.0
821e8ffffffffff,11.0,0.0,0.0,0.0
821e97fffffffff,29.0,8.0,0.0,0.0
821e9ffffffffff,27.0,2.0,0.0,0.0
821ea7fffffffff,197.0,12.0,0.0,0.0
821eaffffffffff,188.0,13.0,0.0,0.0
821eb7fffffffff,141.0,11.0,0.0,0.0
821ec7fffffffff,948.0,73.0,0.0,0.0
821ecffffffffff,1151.0,67.0,0.0,0.0
821ed7fffffffff,245.0,11.0,0.0,0.0
821edffffffffff,824.0,45.0,0.0,0.0
821ee7fffffffff,88.0,0.0,0.0,0.0
821eeffffffffff,405.0,61.0,0.0,0.0
821ef7fffffffff,90.0,16.0,0.0,0.0
821f0ffffffffff,20.0,0.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0,0.0
821f1ffffffffff,74.0,0.0,0.0,0.0
821f47fffffffff,18.0,0.0,0.0,0.0
821f4ffffffffff,16.0,0.0,0.0,0.0
821f57fffffffff,167.0,22.0,0.0,0.0
821f5ffffffffff,126.0,4.0,0.0,0.0
821f67fffffffff,11.0,0.0,0.0,0.0
821f77fffffffff,24.0,0.0,0.0,0.0
821f87fffffffff,92.0,1.0,0.0,0.0
821f8ffffffffff,37.0,9.0,0.0,0.0
821f97fffffffff,19.0,2.0,0.0,0.0
821f9ffffffffff,114.0,2.0,0.0,0.0
821fa7fffffffff,4.0,0.0,0.0,0.0
821faffffffffff,63.0,0.0,0.0,0.0
821fb7fffffffff,36.0,6.0,0.0,0.0
82200ffffffffff,83.0,26.0,0.0,0.0
822017fffffffff,30.0,15.0,0.0,0.0
82201ffffffffff,144.0,42.0,0.0,0.0
822037fffffffff,5.0,1.0,0.0,0.0
82204ffffffffff,67.0,24.0,0.0,0.0
82205ffffffffff,63.0,21.0,0.0,0.0
822087fffffffff,13.0,0.0,0.0,0.0
82208ffffffffff,8.0,0.0,0.0,0.0
82209ffffffffff,64.0,0.0,0.0,0.0
8220a7fffffffff,43.0,11.0,0.0,0.0
8220affffffffff,8.0,2.0,0.0,0.0
8220b7fffffffff,19.0,0.0,0.0,0.0
