cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
824427fffffffff,65.0,0.0,8.0,0.0,0.0
824507fffffffff,1592.0,0.0,69.0,0.0,0.0
82450ffffffffff,6494.0,0.0,88.0,0.0,0.0
82451ffffffffff,201.0,0.0,42.0,0.0,0.0
824527fffffffff,2450.0,0.0,83.0,0.0,0.0
82452ffffffffff,6731.0,0.0,624.0,0.0,0.0
824537fffffffff,938.0,0.0,0.0,0.0,0.0
824557fffffffff,4.0,0.0,0.0,0.0,0.0
824577fffffffff,1001.0,0.0,9.0,0.0,0.0
824807fffffffff,4.0,0.0,0.0,0.0,0.0
82480ffffffffff,3.0,0.0,0.0,0.0,0.0
824837fffffffff,206.0,7.0,0.0,0.0,0.0
8266b7fffffffff,2.0,0.0,0.0,0.0,0.0
826787fffffffff,73.0,0.0,0.0,13.0,0.0
826797fffffffff,26.0,0.0,0.0,0.0,0.0
82679ffffffffff,5.0,0.0,0.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0,0.0,0.0
826d07fffffffff,91.0,0.0,22.0,0.0,0.0
826d27fffffffff,110.0,0.0,0.0,0.0,0.0
826d2ffffffffff,231.0,0.0,3.0,0.0,0.0
826d67fffffffff,247.0,0.0,0.0,0.0,0.0
826d6ffffffffff,1827.0,0.0,0.0,0.0,0.0
826d77fffffffff,249.0,0.0,0.0,0.0,0.0
