cell_id,Heliodoxa schreibersii,Heliodoxa schreibersii schreibersii,Heliodoxa schreibersii whitelyana
84665abffffffff,9.0,0.0,0.0
84665bdffffffff,20.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c29ffffffff,4.0,0.0,0.0
8466cd1ffffffff,2.0,0.0,0.0
8466d1bffffffff,133.0,0.0,0.0
8466d81ffffffff,16.0,0.0,0.0
8466da3ffffffff,1.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466dadffffffff,47.0,27.0,0.0
8466dc3ffffffff,3.0,2.0,0.0
8466dc7ffffffff,9.0,0.0,0.0
8466dcdffffffff,2.0,0.0,0.0
8466dd5ffffffff,15.0,0.0,0.0
8466de1ffffffff,1798.0,189.0,0.0
8466de3ffffffff,12.0,0.0,0.0
8466de7ffffffff,2.0,0.0,0.0
8466de9ffffffff,1.0,0.0,0.0
8466debffffffff,66.0,7.0,0.0
848a45bffffffff,1.0,0.0,0.0
848a45dffffffff,2.0,0.0,0.0
848a489ffffffff,3.0,0.0,0.0
848a699ffffffff,4.0,0.0,0.0
848b617ffffffff,6.0,0.0,0.0
848b75bffffffff,4.0,0.0,0.0
848e649ffffffff,4.0,0.0,0.0
848e651ffffffff,3.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f401ffffffff,23.0,0.0,0.0
848f439ffffffff,3.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0
848f465ffffffff,66.0,0.0,0.0
848f46bffffffff,1.0,0.0,0.0
848f657ffffffff,2.0,0.0,0.0
848f705ffffffff,3.0,0.0,0.0
848f70dffffffff,2.0,0.0,0.0
848f729ffffffff,143.0,2.0,0.0
848f72bffffffff,40.0,5.0,0.0
848f733ffffffff,4.0,0.0,0.0
848f745ffffffff,7.0,0.0,0.0
848f74dffffffff,3.0,0.0,0.0
848f763ffffffff,9.0,0.0,0.0
848f76bffffffff,2.0,0.0,0.0
