cell_id,Dendrocolaptes certhia,Dendrocolaptes certhia radiolatus,Dendrocolaptes certhia certhia,Dendrocolaptes certhia juruanus/polyzonus,Dendrocolaptes certhia concolor,Dendrocolaptes certhia ridgwayi,Dendrocolaptes certhia retentus,Dendrocolaptes certhia medius
835f01fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f02fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f0dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f11fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f13fffffffff,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f16fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f40fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f42fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f50fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f54fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f68fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f71fffffffff,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
835f75fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836648fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83665bfffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836663fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c9fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366cbfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366cefffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,234.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ddfffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ecfffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366eefffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838046fffffffff,62.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0
83804cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838061fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
838062fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
838065fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
838066fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
83806bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838071fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
838073fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
838074fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
838075fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
838140fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
838143fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
838145fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
838146fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
83814afffffffff,68.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
83814cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83814dfffffffff,30.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0
83814efffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
838158fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838159fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
83815afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
