cell_id,Oceanites gracilis,Oceanites gracilis galapagoensis,Oceanites gracilis gracilis
826c57fffffffff,1.0,0.0,0.0
826c5ffffffffff,4027.0,0.0,0.0
828e27fffffffff,8.0,0.0,0.0
828e2ffffffffff,11.0,0.0,0.0
828e47fffffffff,49.0,0.0,0.0
828e4ffffffffff,32.0,0.0,0.0
828e67fffffffff,260.0,0.0,0.0
828e6ffffffffff,4.0,0.0,0.0
828e77fffffffff,94.0,0.0,0.0
828f07fffffffff,9.0,0.0,0.0
828f0ffffffffff,9.0,0.0,0.0
828f2ffffffffff,12.0,0.0,0.0
828f57fffffffff,9.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0
828fa7fffffffff,1209.0,0.0,0.0
828fb7fffffffff,8.0,0.0,0.0
82b207fffffffff,4.0,0.0,0.0
82b21ffffffffff,9.0,0.0,0.0
82b227fffffffff,48.0,0.0,0.0
82b307fffffffff,484.0,0.0,0.0
82b31ffffffffff,70.0,0.0,0.0
82b337fffffffff,28.0,0.0,0.0
