cell_id,Zapornia pusilla,Zapornia pusilla intermedia,Zapornia pusilla pusilla,Zapornia pusilla [palustris Group]
820887fffffffff,2.0,1.0,0.0,0.0
821847fffffffff,3.0,0.0,0.0,0.0
82184ffffffffff,19.0,0.0,0.0,0.0
82194ffffffffff,5.0,0.0,0.0,0.0
82196ffffffffff,10.0,0.0,0.0,0.0
821977fffffffff,5.0,0.0,0.0,0.0
821e07fffffffff,1.0,0.0,0.0,0.0
821e17fffffffff,1.0,0.0,0.0,0.0
821edffffffffff,5.0,0.0,0.0,0.0
821ee7fffffffff,1.0,0.0,0.0,0.0
821eeffffffffff,1.0,0.0,0.0,0.0
821f4ffffffffff,4.0,0.0,0.0,0.0
821f87fffffffff,1.0,0.0,0.0,0.0
821fa7fffffffff,6.0,0.0,0.0,0.0
822017fffffffff,1.0,0.0,0.0,0.0
822c07fffffffff,1.0,0.0,0.0,0.0
822c27fffffffff,2.0,0.0,0.0,0.0
822c2ffffffffff,3.0,0.0,0.0,0.0
822c4ffffffffff,1.0,0.0,0.0,0.0
822d37fffffffff,1.0,0.0,0.0,0.0
822da7fffffffff,7.0,0.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0,0.0
822db7fffffffff,8.0,1.0,0.0,0.0
82346ffffffffff,1.0,0.0,0.0,0.0
823907fffffffff,12.0,0.0,0.0,0.0
82390ffffffffff,2.0,0.0,0.0,0.0
823917fffffffff,4.0,0.0,0.0,0.0
82391ffffffffff,24.0,0.0,0.0,0.0
823927fffffffff,3.0,0.0,0.0,0.0
82392ffffffffff,8.0,0.0,0.0,0.0
823937fffffffff,4.0,0.0,0.0,0.0
823947fffffffff,4.0,0.0,0.0,0.0
823957fffffffff,2.0,0.0,0.0,0.0
823977fffffffff,18.0,0.0,0.0,0.0
82399ffffffffff,1.0,0.0,0.0,0.0
823c07fffffffff,4.0,0.0,0.0,0.0
823c1ffffffffff,8.0,0.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0,0.0
823c5ffffffffff,15.0,0.0,0.0,0.0
823c8ffffffffff,3.0,0.0,0.0,0.0
823c97fffffffff,11.0,0.0,0.0,0.0
823c9ffffffffff,43.0,0.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0,0.0
823cc7fffffffff,15.0,0.0,2.0,0.0
823ccffffffffff,4.0,0.0,0.0,0.0
823ce7fffffffff,4.0,0.0,0.0,0.0
823ceffffffffff,2.0,0.0,0.0,0.0
823cf7fffffffff,40.0,0.0,0.0,0.0
823d17fffffffff,3.0,0.0,0.0,0.0
823d37fffffffff,5.0,0.0,2.0,0.0
823d8ffffffffff,3.0,0.0,3.0,0.0
823d97fffffffff,3.0,0.0,0.0,0.0
823d9ffffffffff,3.0,0.0,0.0,0.0
823da7fffffffff,43.0,0.0,3.0,0.0
823daffffffffff,5.0,0.0,0.0,0.0
823e6ffffffffff,3.0,0.0,0.0,0.0
823f37fffffffff,2.0,0.0,0.0,0.0
