cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
8254e7fffffffff,1.0,0.0,0.0
826a5ffffffffff,2.0,0.0,0.0
826ac7fffffffff,3.0,0.0,0.0
826acffffffffff,9.0,4.0,0.0
826adffffffffff,5.0,0.0,0.0
826aeffffffffff,2.0,2.0,0.0
827a4ffffffffff,1.0,0.0,0.0
827a6ffffffffff,4.0,0.0,0.0
827a77fffffffff,1.0,0.0,0.0
829607fffffffff,1.0,0.0,0.0
829627fffffffff,2.0,1.0,0.0
829727fffffffff,1.0,1.0,0.0
829747fffffffff,2.0,0.0,0.0
82bc8ffffffffff,1.0,0.0,0.0
82bcd7fffffffff,6.0,0.0,0.0
82bcf7fffffffff,1.0,0.0,0.0
