cell_id,Pachycephala melanura,Pachycephala melanura dammeriana,Pachycephala melanura [melanura Group]
827797fffffffff,1.0,0.0,0.0
82941ffffffffff,21.0,0.0,0.0
829457fffffffff,304.0,0.0,0.0
82945ffffffffff,2.0,0.0,0.0
829487fffffffff,237.0,0.0,0.0
829497fffffffff,3.0,0.0,0.0
8294affffffffff,51.0,0.0,0.0
8294e7fffffffff,16.0,0.0,0.0
82955ffffffffff,13.0,13.0,0.0
829c1ffffffffff,4.0,0.0,0.0
829c47fffffffff,7.0,0.0,0.0
829c5ffffffffff,16.0,0.0,0.0
829c77fffffffff,31.0,0.0,0.0
829c97fffffffff,65.0,0.0,0.0
829caffffffffff,1.0,0.0,0.0
829cb7fffffffff,3.0,0.0,0.0
829cf7fffffffff,32.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0
82a617fffffffff,5.0,0.0,0.0
82a6a7fffffffff,15.0,0.0,0.0
82a79ffffffffff,13.0,0.0,0.0
