cell_id,Poephila cincta,Poephila cincta atropygialis,Poephila cincta cincta
849c009ffffffff,1.0,0.0,0.0
849c00bffffffff,2.0,0.0,0.0
849c011ffffffff,14.0,11.0,0.0
849c013ffffffff,1.0,0.0,0.0
849c015ffffffff,4.0,0.0,0.0
849c017ffffffff,49.0,8.0,0.0
849c019ffffffff,3.0,1.0,0.0
849c01dffffffff,2.0,0.0,0.0
849c03bffffffff,2.0,1.0,0.0
849c055ffffffff,8.0,0.0,0.0
849c059ffffffff,63.0,6.0,0.0
849c05bffffffff,1.0,0.0,0.0
849c09dffffffff,3.0,0.0,0.0
849c0adffffffff,1.0,0.0,0.0
849c0b1ffffffff,1.0,0.0,0.0
849c0cdffffffff,2.0,0.0,0.0
849c0d7ffffffff,2.0,0.0,0.0
849c0e9ffffffff,21.0,7.0,0.0
849c0edffffffff,63.0,14.0,0.0
849c19bffffffff,2.0,0.0,0.0
849c231ffffffff,9.0,0.0,0.0
849c233ffffffff,86.0,13.0,0.0
849c237ffffffff,1.0,0.0,0.0
849c23bffffffff,18.0,10.0,0.0
849c2cbffffffff,2.0,0.0,0.0
849c2cdffffffff,1.0,0.0,0.0
849c2d1ffffffff,2.0,0.0,0.0
849c2d3ffffffff,5.0,0.0,0.0
849c2ddffffffff,165.0,21.0,0.0
849c2e5ffffffff,3.0,0.0,0.0
849c741ffffffff,1.0,0.0,0.0
849ce63ffffffff,2.0,2.0,0.0
849d0b1ffffffff,51.0,0.0,0.0
849d0b7ffffffff,3.0,0.0,0.0
849d0bdffffffff,2.0,0.0,0.0
849d537ffffffff,4.0,0.0,0.0
849d569ffffffff,1.0,0.0,0.0
849d5a5ffffffff,2.0,0.0,0.0
