cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
845f29dffffffff,1.0,0.0,0.0
8466415ffffffff,1.0,0.0,0.0
846675dffffffff,1.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0
84674a7ffffffff,1.0,1.0,0.0
8467535ffffffff,11.0,0.0,0.0
84675b1ffffffff,1.0,0.0,0.0
848a565ffffffff,2.0,0.0,0.0
848a8cdffffffff,5.0,0.0,0.0
848ac41ffffffff,1.0,0.0,1.0
848ac4dffffffff,1.0,0.0,1.0
848ada9ffffffff,4.0,4.0,0.0
848af09ffffffff,13.0,0.0,9.0
848af11ffffffff,1.0,0.0,1.0
848af19ffffffff,4.0,0.0,4.0
848af45ffffffff,2.0,0.0,2.0
848b0bdffffffff,4.0,0.0,0.0
848b563ffffffff,2.0,0.0,0.0
848b761ffffffff,2.0,0.0,0.0
848f489ffffffff,19.0,0.0,0.0
84a8591ffffffff,2.0,0.0,0.0
84a8599ffffffff,2.0,0.0,0.0
84a85d3ffffffff,4.0,0.0,0.0
