cell_id,Limosa lapponica,Limosa lapponica [lapponica Group],Limosa lapponica [baueri Group]
830126fffffffff,2.0,0.0,0.0
830130fffffffff,78.0,12.0,0.0
830131fffffffff,11.0,0.0,0.0
830134fffffffff,4.0,0.0,0.0
830135fffffffff,337.0,37.0,0.0
83041afffffffff,88.0,0.0,0.0
8304ccfffffffff,6.0,0.0,0.0
830758fffffffff,2.0,0.0,0.0
83075dfffffffff,16.0,0.0,0.0
830762fffffffff,2.0,0.0,0.0
830763fffffffff,5.0,0.0,0.0
830802fffffffff,3.0,0.0,0.0
830806fffffffff,8.0,0.0,0.0
830815fffffffff,10.0,0.0,0.0
830830fffffffff,2.0,0.0,0.0
830836fffffffff,8.0,0.0,0.0
830880fffffffff,2.0,0.0,0.0
830883fffffffff,2.0,0.0,0.0
830886fffffffff,21.0,0.0,0.0
830888fffffffff,45.0,7.0,0.0
83088efffffffff,4.0,0.0,0.0
830892fffffffff,1.0,0.0,0.0
830893fffffffff,20.0,0.0,0.0
830895fffffffff,4.0,0.0,0.0
830896fffffffff,13.0,0.0,0.0
830898fffffffff,24.0,0.0,0.0
830899fffffffff,5.0,2.0,0.0
83089afffffffff,32.0,0.0,0.0
83089bfffffffff,4.0,0.0,0.0
83089cfffffffff,1.0,0.0,0.0
83089dfffffffff,6.0,0.0,0.0
83089efffffffff,26.0,0.0,0.0
8308c9fffffffff,21.0,6.0,0.0
8308cdfffffffff,18.0,0.0,0.0
8308d1fffffffff,5.0,0.0,0.0
8308d5fffffffff,9.0,0.0,0.0
8308e9fffffffff,3.0,0.0,0.0
8308ecfffffffff,1.0,0.0,0.0
8308edfffffffff,2.0,0.0,0.0
8308f6fffffffff,2.0,0.0,0.0
830959fffffffff,2.0,0.0,0.0
830981fffffffff,4.0,0.0,0.0
830982fffffffff,51.0,0.0,0.0
830991fffffffff,105.0,1.0,0.0
830993fffffffff,4.0,0.0,0.0
830998fffffffff,12.0,0.0,0.0
830999fffffffff,4.0,0.0,0.0
8309a0fffffffff,3.0,0.0,0.0
8309a4fffffffff,2.0,2.0,0.0
8309a6fffffffff,54.0,2.0,0.0
830c06fffffffff,2.0,0.0,0.0
830c14fffffffff,2287.0,0.0,0.0
830c15fffffffff,32.0,0.0,0.0
830c1bfffffffff,2.0,0.0,0.0
830c1efffffffff,114.0,0.0,0.0
830c30fffffffff,9.0,0.0,0.0
830c33fffffffff,223.0,0.0,0.0
830ca4fffffffff,14.0,0.0,0.0
830ca9fffffffff,7.0,0.0,0.0
830cadfffffffff,6.0,0.0,0.0
830cc1fffffffff,2.0,0.0,0.0
830cdcfffffffff,2.0,0.0,0.0
830cdefffffffff,23.0,0.0,0.0
830ce3fffffffff,2.0,0.0,0.0
830ceefffffffff,37.0,0.0,0.0
830cf4fffffffff,1.0,0.0,0.0
830d03fffffffff,25.0,0.0,2.0
830d09fffffffff,2.0,0.0,0.0
830d0cfffffffff,125.0,0.0,20.0
830d0dfffffffff,24.0,0.0,2.0
830d0efffffffff,2.0,0.0,0.0
830d74fffffffff,8.0,0.0,0.0
