cell_id,Dicaeum hirundinaceum,Dicaeum hirundinaceum hirundinaceum,Dicaeum hirundinaceum ignicolle
83945cfffffffff,3.0,0.0,0.0
83945efffffffff,2.0,0.0,0.0
839c23fffffffff,2.0,2.0,0.0
83a726fffffffff,1.0,0.0,0.0
83be08fffffffff,11.0,0.0,0.0
83be0afffffffff,1.0,0.0,0.0
83be0cfffffffff,5.0,0.0,0.0
83be44fffffffff,1.0,0.0,0.0
83be4afffffffff,4.0,0.0,0.0
83be60fffffffff,2.0,0.0,0.0
83be63fffffffff,11.0,0.0,0.0
83be6afffffffff,4.0,0.0,0.0
83be72fffffffff,15.0,0.0,0.0
83be8dfffffffff,22.0,0.0,0.0
83beabfffffffff,1.0,0.0,0.0
83c990fffffffff,1.0,0.0,0.0
83c9b3fffffffff,2.0,0.0,0.0
