cell_id,Bocagia minuta,Bocagia minuta minuta,Bocagia minuta anchietae/reichenowi
846ac9bffffffff,1.0,0.0,0.0
846aea1ffffffff,1.0,1.0,0.0
8475a65ffffffff,2.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a4d9ffffffff,1.0,0.0,0.0
847a4ddffffffff,3.0,0.0,0.0
847a6b7ffffffff,1.0,1.0,0.0
8496a01ffffffff,2.0,0.0,0.0
8496a39ffffffff,1.0,0.0,0.0
8496b13ffffffff,2.0,0.0,0.0
8496b43ffffffff,2.0,0.0,0.0
8496b47ffffffff,2.0,0.0,0.0
8496b55ffffffff,2.0,0.0,2.0
8496b67ffffffff,1.0,0.0,0.0
8497113ffffffff,2.0,0.0,2.0
