cell_id,Lanius senator,Lanius senator senator,Lanius senator badius,Lanius senator niloticus
8439029ffffffff,16.0,3.0,0.0,0.0
843902bffffffff,1.0,1.0,0.0,0.0
8439031ffffffff,1.0,1.0,0.0,0.0
8439033ffffffff,3.0,1.0,0.0,0.0
8439035ffffffff,2.0,1.0,0.0,0.0
8439039ffffffff,9.0,0.0,0.0,0.0
843903dffffffff,3.0,0.0,0.0,0.0
8439041ffffffff,1.0,0.0,0.0,0.0
8439043ffffffff,2.0,0.0,0.0,0.0
8439047ffffffff,1.0,0.0,0.0,0.0
8439057ffffffff,2.0,2.0,0.0,0.0
843905dffffffff,11.0,0.0,0.0,0.0
8439063ffffffff,12.0,0.0,0.0,0.0
8439067ffffffff,1.0,0.0,0.0,0.0
843906bffffffff,3.0,0.0,0.0,0.0
843906dffffffff,6.0,0.0,0.0,0.0
84390ebffffffff,2.0,0.0,0.0,0.0
8439101ffffffff,42.0,0.0,0.0,0.0
8439103ffffffff,3.0,0.0,0.0,0.0
843910bffffffff,2.0,0.0,0.0,0.0
8439111ffffffff,1.0,0.0,0.0,0.0
8439113ffffffff,2.0,0.0,0.0,0.0
8439115ffffffff,4.0,0.0,0.0,0.0
843911dffffffff,1.0,1.0,0.0,0.0
8439153ffffffff,2.0,0.0,0.0,0.0
8439159ffffffff,2.0,0.0,0.0,0.0
843915dffffffff,4.0,0.0,0.0,0.0
8439181ffffffff,2.0,2.0,0.0,0.0
84391a9ffffffff,2.0,0.0,0.0,0.0
84391ebffffffff,4.0,1.0,0.0,0.0
8439207ffffffff,2.0,0.0,0.0,0.0
8439209ffffffff,1.0,0.0,0.0,0.0
8439213ffffffff,1.0,0.0,0.0,0.0
8439221ffffffff,3.0,0.0,0.0,0.0
8439223ffffffff,2.0,0.0,0.0,0.0
8439227ffffffff,2.0,0.0,0.0,0.0
8439237ffffffff,9.0,0.0,0.0,0.0
8439239ffffffff,4.0,0.0,0.0,0.0
843923dffffffff,10.0,0.0,0.0,0.0
8439255ffffffff,2.0,0.0,0.0,0.0
8439257ffffffff,4.0,0.0,0.0,0.0
843925bffffffff,4.0,0.0,0.0,0.0
8439285ffffffff,8.0,0.0,0.0,0.0
8439287ffffffff,2.0,0.0,0.0,0.0
843929dffffffff,8.0,0.0,0.0,0.0
84392a1ffffffff,2.0,0.0,0.0,0.0
84392a3ffffffff,1.0,1.0,0.0,0.0
84392a5ffffffff,2.0,2.0,0.0,0.0
84392a7ffffffff,2.0,0.0,0.0,0.0
84392a9ffffffff,3.0,0.0,0.0,0.0
84392adffffffff,2.0,0.0,0.0,0.0
84392bdffffffff,2.0,0.0,0.0,0.0
8439311ffffffff,8.0,0.0,0.0,0.0
8439331ffffffff,2.0,0.0,0.0,0.0
8439335ffffffff,5.0,0.0,0.0,0.0
8439337ffffffff,8.0,0.0,0.0,0.0
8439435ffffffff,10.0,4.0,4.0,0.0
8439447ffffffff,12.0,2.0,9.0,0.0
8439459ffffffff,2.0,2.0,0.0,0.0
843946dffffffff,5.0,0.0,1.0,0.0
8439515ffffffff,8.0,0.0,0.0,0.0
8439541ffffffff,7.0,0.0,7.0,0.0
8439547ffffffff,4.0,0.0,4.0,0.0
8439549ffffffff,8.0,0.0,0.0,0.0
8439563ffffffff,2.0,0.0,2.0,0.0
8439567ffffffff,3.0,1.0,2.0,0.0
84395c1ffffffff,57.0,7.0,45.0,0.0
84395cbffffffff,3.0,0.0,0.0,0.0
8439627ffffffff,4.0,4.0,0.0,0.0
843968dffffffff,2.0,0.0,2.0,0.0
8439705ffffffff,2.0,0.0,0.0,0.0
8439707ffffffff,1.0,0.0,0.0,0.0
8439711ffffffff,7.0,7.0,0.0,0.0
8439717ffffffff,2.0,2.0,0.0,0.0
843971bffffffff,1.0,1.0,0.0,0.0
8439725ffffffff,1.0,1.0,0.0,0.0
8439729ffffffff,13.0,0.0,0.0,0.0
843972bffffffff,3.0,0.0,0.0,0.0
8439733ffffffff,7.0,1.0,6.0,0.0
8439739ffffffff,33.0,0.0,0.0,0.0
843973dffffffff,9.0,0.0,0.0,0.0
8439741ffffffff,2.0,0.0,0.0,0.0
8439745ffffffff,2.0,0.0,0.0,0.0
8439747ffffffff,4.0,0.0,0.0,0.0
8439749ffffffff,8.0,0.0,0.0,0.0
843974dffffffff,2.0,0.0,0.0,0.0
8439769ffffffff,1.0,1.0,0.0,0.0
843976bffffffff,1.0,1.0,0.0,0.0
843976dffffffff,3.0,0.0,0.0,0.0
843983bffffffff,1.0,0.0,0.0,0.0
843e457ffffffff,3.0,0.0,0.0,0.0
843e689ffffffff,4.0,0.0,0.0,2.0
843f2dbffffffff,1.0,1.0,0.0,0.0
843f441ffffffff,1.0,0.0,0.0,0.0
843f44bffffffff,2.0,0.0,0.0,0.0
8443319ffffffff,1.0,0.0,0.0,0.0
844331dffffffff,2.0,0.0,0.0,0.0
8443a17ffffffff,4.0,0.0,0.0,4.0
8443ac3ffffffff,12.0,0.0,0.0,0.0
8443ae5ffffffff,39.0,0.0,0.0,0.0
84521c5ffffffff,4.0,0.0,0.0,0.0
84534d5ffffffff,2.0,0.0,0.0,0.0
8453645ffffffff,1.0,0.0,0.0,0.0
8453a43ffffffff,3.0,0.0,0.0,2.0
845411dffffffff,6.0,0.0,0.0,0.0
8454f15ffffffff,2.0,0.0,0.0,0.0
8454f53ffffffff,3.0,0.0,0.0,0.0
845536dffffffff,2.0,0.0,0.0,0.0
845929bffffffff,3.0,0.0,0.0,0.0
845974dffffffff,4.0,0.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0,0.0
