cell_id,Chiroxiphia pareola,Chiroxiphia pareola pareola/atlantica,Chiroxiphia pareola napensis,Chiroxiphia pareola regina
835f12fffffffff,13.0,0.0,0.0,0.0
835f13fffffffff,8.0,0.0,0.0,0.0
835f1cfffffffff,3.0,0.0,0.0,0.0
835f1efffffffff,1.0,0.0,0.0,0.0
835f22fffffffff,8.0,0.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0,0.0
835f29fffffffff,186.0,0.0,0.0,0.0
835f2bfffffffff,7.0,0.0,0.0,0.0
835f2dfffffffff,76.0,0.0,0.0,0.0
835f40fffffffff,3.0,0.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0,0.0
835f5bfffffffff,686.0,0.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0,0.0
8366c5fffffffff,9.0,0.0,0.0,0.0
8366cefffffffff,22.0,0.0,0.0,0.0
8366d8fffffffff,57.0,0.0,0.0,0.0
8366dafffffffff,5.0,0.0,0.0,0.0
8366dbfffffffff,4.0,0.0,0.0,0.0
8366dcfffffffff,89.0,0.0,3.0,0.0
8366ddfffffffff,53.0,0.0,3.0,0.0
8366defffffffff,70.0,0.0,6.0,0.0
8366eafffffffff,2.0,0.0,0.0,0.0
838000fffffffff,5.0,0.0,0.0,0.0
838002fffffffff,22.0,0.0,0.0,0.0
838005fffffffff,23.0,0.0,0.0,0.0
838008fffffffff,6.0,0.0,0.0,0.0
83800cfffffffff,13.0,0.0,0.0,0.0
838044fffffffff,9.0,0.0,0.0,0.0
838046fffffffff,44.0,0.0,0.0,0.0
83804cfffffffff,1.0,0.0,0.0,0.0
838054fffffffff,4.0,0.0,0.0,0.0
838055fffffffff,3.0,0.0,0.0,0.0
838062fffffffff,6.0,0.0,0.0,0.0
83806afffffffff,8.0,0.0,0.0,0.0
83806bfffffffff,6.0,0.0,0.0,0.0
838071fffffffff,26.0,0.0,0.0,0.0
838072fffffffff,3.0,0.0,0.0,0.0
838073fffffffff,5.0,0.0,0.0,0.0
838075fffffffff,5.0,0.0,0.0,0.0
838102fffffffff,76.0,0.0,0.0,0.0
838106fffffffff,2.0,0.0,0.0,0.0
838110fffffffff,2.0,0.0,0.0,0.0
838111fffffffff,1.0,0.0,0.0,0.0
838112fffffffff,19.0,0.0,0.0,0.0
838114fffffffff,15.0,0.0,0.0,0.0
838116fffffffff,55.0,0.0,0.0,0.0
83811efffffffff,6.0,0.0,0.0,0.0
838132fffffffff,98.0,0.0,0.0,0.0
838133fffffffff,2.0,0.0,0.0,0.0
838136fffffffff,6.0,0.0,0.0,0.0
838140fffffffff,10.0,0.0,0.0,0.0
838142fffffffff,4.0,0.0,0.0,0.0
838143fffffffff,11.0,0.0,0.0,0.0
838144fffffffff,9.0,0.0,0.0,0.0
838145fffffffff,32.0,0.0,0.0,0.0
83814afffffffff,34.0,0.0,0.0,0.0
83814dfffffffff,6.0,0.0,0.0,0.0
83814efffffffff,32.0,0.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0,0.0
83815cfffffffff,15.0,0.0,0.0,0.0
83815dfffffffff,2.0,0.0,0.0,0.0
83815efffffffff,3.0,0.0,0.0,0.0
838163fffffffff,27.0,0.0,0.0,0.0
838171fffffffff,14.0,0.0,0.0,0.0
838180fffffffff,59.0,2.0,0.0,0.0
838181fffffffff,583.0,4.0,0.0,0.0
838183fffffffff,151.0,0.0,0.0,0.0
838185fffffffff,335.0,0.0,0.0,0.0
83818efffffffff,42.0,0.0,0.0,0.0
83819dfffffffff,55.0,0.0,0.0,0.0
8381a1fffffffff,40.0,0.0,0.0,0.0
8381adfffffffff,4.0,0.0,0.0,0.0
838a00fffffffff,1.0,0.0,0.0,0.0
838a01fffffffff,2.0,0.0,0.0,0.0
838a05fffffffff,3.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0
838a10fffffffff,20.0,0.0,0.0,0.0
838a15fffffffff,5.0,0.0,0.0,1.0
838a19fffffffff,1.0,0.0,0.0,1.0
