cell_id,Rhodopechys sanguineus,Rhodopechys sanguineus alienus,Rhodopechys sanguineus sanguineus
84209c3ffffffff,1.0,0.0,1.0
842c00dffffffff,2.0,0.0,0.0
842c063ffffffff,2.0,0.0,2.0
842c157ffffffff,3.0,0.0,0.0
842c15bffffffff,3.0,0.0,0.0
842c191ffffffff,2.0,0.0,2.0
842c2e5ffffffff,4.0,0.0,4.0
842c2e7ffffffff,7.0,0.0,0.0
842cd5bffffffff,8.0,0.0,1.0
842cf3bffffffff,2.0,0.0,0.0
842d329ffffffff,4.0,0.0,0.0
842db11ffffffff,2.0,0.0,1.0
8439833ffffffff,11.0,9.0,0.0
