cell_id,Diglossa brunneiventris,Diglossa brunneiventris vuilleumieri,Diglossa brunneiventris brunneiventris
836618fffffffff,521.0,0.0,0.0
836619fffffffff,6.0,0.0,0.0
83661dfffffffff,159.0,0.0,0.0
8366e6fffffffff,23.0,0.0,0.0
838b60fffffffff,12.0,0.0,0.0
838b61fffffffff,3059.0,0.0,36.0
838b65fffffffff,4.0,0.0,0.0
838b66fffffffff,11.0,0.0,0.0
838b6cfffffffff,343.0,0.0,1.0
838b75fffffffff,14.0,0.0,0.0
838e60fffffffff,89.0,0.0,0.0
838e61fffffffff,25.0,0.0,0.0
838e62fffffffff,12.0,0.0,0.0
838e64fffffffff,31.0,0.0,0.0
838e65fffffffff,110.0,0.0,0.0
838e66fffffffff,160.0,0.0,0.0
838e68fffffffff,13.0,0.0,0.0
838e69fffffffff,18.0,0.0,0.0
838e6cfffffffff,36.0,0.0,0.0
838e6dfffffffff,413.0,0.0,0.0
838e6efffffffff,2.0,0.0,0.0
838f42fffffffff,28.0,0.0,0.0
838f4afffffffff,16.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0
838f51fffffffff,428.0,0.0,0.0
838f55fffffffff,228.0,0.0,0.0
838f58fffffffff,173.0,0.0,0.0
838f59fffffffff,182.0,0.0,0.0
838f5bfffffffff,16.0,0.0,0.0
838f5cfffffffff,63.0,0.0,0.0
838f5dfffffffff,8.0,0.0,0.0
838f5efffffffff,3.0,0.0,0.0
838f73fffffffff,3.0,0.0,0.0
83b301fffffffff,2.0,0.0,0.0
83b304fffffffff,128.0,0.0,0.0
83b305fffffffff,443.0,0.0,0.0
83b320fffffffff,115.0,0.0,0.0
83b321fffffffff,7.0,0.0,0.0
83b324fffffffff,43.0,0.0,0.0
83b325fffffffff,139.0,0.0,0.0
83b326fffffffff,40.0,0.0,0.0
83b331fffffffff,6.0,0.0,0.0
83b334fffffffff,41.0,0.0,0.0
83b335fffffffff,105.0,0.0,0.0
