cell_id,Thlypopsis superciliaris,Thlypopsis superciliaris chrysophrys,Thlypopsis superciliaris [superciliaris Group],Thlypopsis superciliaris leucogastra/insignis,Thlypopsis superciliaris urubambae
83660bfffffffff,2.0,0.0,0.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0,0.0,0.0
836629fffffffff,5.0,1.0,0.0,0.0,0.0
83662dfffffffff,3.0,0.0,0.0,0.0,0.0
8366d3fffffffff,23.0,0.0,8.0,0.0,0.0
8366defffffffff,5.0,0.0,1.0,0.0,0.0
8366e6fffffffff,2.0,0.0,2.0,0.0,0.0
838b6cfffffffff,5.0,0.0,0.0,0.0,5.0
838e6cfffffffff,3.0,0.0,0.0,0.0,3.0
838f4afffffffff,2.0,0.0,0.0,2.0,0.0
838f54fffffffff,6.0,0.0,0.0,0.0,0.0
838f55fffffffff,4.0,0.0,0.0,4.0,0.0
838f59fffffffff,15.0,0.0,0.0,15.0,0.0
838f76fffffffff,2.0,0.0,0.0,0.0,0.0
