cell_id,Heinrichia calligyna,Heinrichia calligyna simplex,Heinrichia calligyna calligyna/picta
8368d2fffffffff,156.0,0.0,32.0
8368defffffffff,1.0,0.0,0.0
839528fffffffff,1.0,0.0,0.0
