cell_id,Bubo capensis,Bubo capensis dillonii/mackinderi,Bubo capensis capensis
835280fffffffff,1.0,0.0,0.0
835295fffffffff,2.0,0.0,0.0
835298fffffffff,4.0,0.0,0.0
835299fffffffff,6.0,1.0,0.0
83529bfffffffff,6.0,5.0,0.0
837a40fffffffff,4.0,2.0,0.0
837a41fffffffff,9.0,0.0,0.0
837a45fffffffff,119.0,51.0,0.0
837a6afffffffff,13.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0
837ac8fffffffff,1.0,0.0,0.0
837acafffffffff,1.0,0.0,0.0
837accfffffffff,113.0,30.0,0.0
837acdfffffffff,2.0,0.0,0.0
837acefffffffff,4.0,0.0,0.0
837ae9fffffffff,1.0,0.0,0.0
8396a0fffffffff,1.0,0.0,0.0
8396b1fffffffff,4.0,0.0,0.0
839702fffffffff,2.0,0.0,0.0
83ac36fffffffff,1.0,0.0,0.0
83ad8bfffffffff,6.0,0.0,0.0
83adaafffffffff,2.0,0.0,0.0
83adabfffffffff,1.0,0.0,0.0
83adaefffffffff,2.0,0.0,0.0
83bc54fffffffff,5.0,0.0,5.0
83bcc4fffffffff,3.0,0.0,3.0
83bce5fffffffff,1.0,0.0,1.0
83bcf5fffffffff,1.0,0.0,1.0
