cell_id,Myiotriccus ornatus,Myiotriccus ornatus ornatus/stellatus,Myiotriccus ornatus phoenicurus/aureiventris
8466085ffffffff,2.0,0.0,0.0
8466087ffffffff,10.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0
846608dffffffff,632.0,6.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0
84660b1ffffffff,1.0,0.0,0.0
84660b5ffffffff,2.0,0.0,0.0
84660b9ffffffff,9.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0
8466181ffffffff,22.0,0.0,0.0
8466183ffffffff,4.0,0.0,0.0
8466185ffffffff,8.0,0.0,0.0
8466187ffffffff,12.0,0.0,0.0
846618dffffffff,4.0,0.0,0.0
8466191ffffffff,2.0,0.0,0.0
8466193ffffffff,39.0,0.0,0.0
8466197ffffffff,28.0,0.0,0.0
8466199ffffffff,2.0,0.0,0.0
846619bffffffff,1.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0
84661adffffffff,8.0,0.0,0.0
84661b1ffffffff,2262.0,446.0,0.0
84661b3ffffffff,33.0,0.0,0.0
84661b7ffffffff,45.0,0.0,0.0
84661b9ffffffff,712.0,15.0,0.0
84661bbffffffff,32.0,0.0,0.0
84661bdffffffff,19.0,0.0,0.0
84661c3ffffffff,2.0,0.0,0.0
84661d1ffffffff,647.0,0.0,0.0
84661d5ffffffff,27.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0
84661ddffffffff,11.0,0.0,0.0
84661ebffffffff,9.0,0.0,0.0
8466c21ffffffff,16.0,0.0,0.0
8466c27ffffffff,13.0,0.0,0.0
8466c29ffffffff,77.0,0.0,1.0
8466c2dffffffff,56.0,0.0,1.0
8466c61ffffffff,3.0,0.0,0.0
8466c67ffffffff,24.0,0.0,0.0
8466c69ffffffff,5.0,0.0,0.0
8466c6dffffffff,2.0,0.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d03ffffffff,57.0,3.0,0.0
8466d07ffffffff,32.0,3.0,0.0
8466d0bffffffff,2519.0,487.0,0.0
8466d0dffffffff,4.0,0.0,0.0
8466d1bffffffff,369.0,0.0,23.0
8466d1dffffffff,6.0,0.0,0.0
8466d23ffffffff,16.0,2.0,0.0
8466d27ffffffff,24.0,4.0,0.0
8466d31ffffffff,5454.0,644.0,0.0
8466d35ffffffff,1410.0,182.0,0.0
8466d37ffffffff,304.0,18.0,0.0
8466d3dffffffff,125.0,26.0,0.0
8466d51ffffffff,2.0,0.0,0.0
8466d55ffffffff,2.0,0.0,0.0
8466d59ffffffff,1.0,0.0,0.0
8466da1ffffffff,2.0,0.0,0.0
8466da7ffffffff,7.0,0.0,0.0
8466dadffffffff,99.0,0.0,0.0
8466de1ffffffff,1489.0,0.0,144.0
8466de3ffffffff,3.0,0.0,0.0
8466de7ffffffff,3.0,0.0,0.0
8466de9ffffffff,19.0,0.0,0.0
8466debffffffff,171.0,0.0,31.0
8466e07ffffffff,25.0,0.0,0.0
8466e09ffffffff,18.0,0.0,0.0
8466e0dffffffff,3.0,0.0,0.0
8466e2dffffffff,6.0,0.0,0.0
8466e41ffffffff,4.0,0.0,0.0
8466e43ffffffff,25.0,0.0,0.0
8466e47ffffffff,5.0,0.0,0.0
8466e49ffffffff,6.0,0.0,0.0
8466e61ffffffff,7.0,0.0,0.0
8466e65ffffffff,22.0,0.0,0.0
8466e67ffffffff,57.0,0.0,0.0
8466e6dffffffff,64.0,0.0,0.0
8466f03ffffffff,172.0,0.0,0.0
8466f0bffffffff,1.0,0.0,0.0
