cell_id,Onychognathus walleri,Onychognathus walleri preussi,Onychognathus walleri elgonensis,Onychognathus walleri walleri
8258d7fffffffff,44.0,44.0,0.0,0.0
826ac7fffffffff,20.0,0.0,2.0,0.0
826acffffffffff,2.0,0.0,0.0,0.0
826ad7fffffffff,1.0,0.0,0.0,0.0
826adffffffffff,506.0,0.0,77.0,0.0
827a47fffffffff,227.0,0.0,0.0,0.0
827a4ffffffffff,14.0,0.0,0.0,0.0
827a67fffffffff,6.0,0.0,0.0,0.0
827a6ffffffffff,12.0,0.0,0.0,0.0
827b4ffffffffff,178.0,0.0,0.0,29.0
8282d7fffffffff,82.0,46.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0,0.0
829697fffffffff,134.0,0.0,0.0,0.0
8296a7fffffffff,14.0,0.0,0.0,2.0
8296b7fffffffff,29.0,0.0,0.0,0.0
8296d7fffffffff,2.0,0.0,0.0,0.0
