cell_id,Cisticola chubbi,Cisticola chubbi discolor/adametzi,Cisticola chubbi chubbi/marungensis
8358c3fffffffff,2.0,0.0,0.0
8358d1fffffffff,6.0,0.0,0.0
8358d3fffffffff,32.0,32.0,0.0
8358dcfffffffff,2.0,0.0,0.0
8358defffffffff,8.0,0.0,0.0
836ac0fffffffff,70.0,0.0,12.0
836ac1fffffffff,60.0,0.0,15.0
836ac2fffffffff,2.0,0.0,0.0
836ac3fffffffff,21.0,0.0,2.0
836ac5fffffffff,2.0,0.0,0.0
836acefffffffff,5.0,0.0,0.0
836ad8fffffffff,52.0,0.0,8.0
836adafffffffff,11.0,0.0,3.0
836adcfffffffff,1684.0,0.0,152.0
836addfffffffff,1.0,0.0,0.0
836adefffffffff,351.0,0.0,53.0
836ae8fffffffff,1.0,0.0,0.0
836aeafffffffff,8.0,0.0,0.0
837a48fffffffff,80.0,0.0,2.0
837a4cfffffffff,333.0,0.0,3.0
837a4dfffffffff,36.0,0.0,0.0
837a6bfffffffff,5.0,0.0,0.0
8382d2fffffffff,2.0,1.0,0.0
8382d3fffffffff,43.0,19.0,0.0
