cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
822837fffffffff,129.0,38.0,0.0,0.0,0.0
822917fffffffff,3.0,0.0,0.0,0.0,0.0
822987fffffffff,61.0,0.0,0.0,0.0,16.0
8229a7fffffffff,259.0,0.0,38.0,0.0,15.0
8229b7fffffffff,157.0,0.0,0.0,0.0,72.0
82480ffffffffff,1.0,0.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,2.0,0.0
82485ffffffffff,88.0,0.0,9.0,0.0,34.0
824877fffffffff,2.0,0.0,0.0,0.0,0.0
8248effffffffff,148.0,0.0,0.0,0.0,70.0
8249a7fffffffff,1.0,0.0,0.0,0.0,0.0
8249affffffffff,5.0,0.0,0.0,0.0,0.0
