cell_id,Monticola brevipes,Monticola brevipes brevipes,Monticola brevipes pretoriae
848320dffffffff,3.0,1.0,0.0
8483263ffffffff,23.0,10.0,0.0
84ac801ffffffff,48.0,1.0,0.0
84ac803ffffffff,1.0,0.0,0.0
84ac805ffffffff,8.0,0.0,0.0
84ac807ffffffff,2.0,0.0,0.0
84ac809ffffffff,4.0,0.0,0.0
84ac80bffffffff,4.0,0.0,0.0
84ac811ffffffff,15.0,0.0,0.0
84ac819ffffffff,9.0,0.0,0.0
84ac81bffffffff,23.0,1.0,0.0
84ac81dffffffff,11.0,0.0,0.0
84ac841ffffffff,5.0,0.0,0.0
84ac843ffffffff,5.0,0.0,0.0
84ac849ffffffff,2.0,0.0,0.0
84ac84dffffffff,2.0,0.0,0.0
84ac851ffffffff,13.0,7.0,0.0
84ac853ffffffff,17.0,4.0,0.0
84ac857ffffffff,2.0,0.0,0.0
84ac85bffffffff,6.0,0.0,0.0
84ac85dffffffff,2.0,0.0,0.0
84ac863ffffffff,18.0,0.0,0.0
84ac867ffffffff,9.0,0.0,0.0
84ac8a3ffffffff,2.0,1.0,0.0
84ac8a9ffffffff,9.0,0.0,0.0
84ac8e3ffffffff,2.0,0.0,0.0
84ac8e7ffffffff,5.0,0.0,0.0
84ac95bffffffff,2.0,0.0,0.0
84aca03ffffffff,3.0,0.0,0.0
84aca07ffffffff,2.0,1.0,0.0
84aca15ffffffff,26.0,9.0,0.0
84aca19ffffffff,9.0,9.0,0.0
84aca27ffffffff,34.0,0.0,0.0
84aca2bffffffff,18.0,15.0,0.0
84aca35ffffffff,2.0,0.0,0.0
84aca39ffffffff,69.0,14.0,0.0
84aca3dffffffff,119.0,28.0,0.0
84aca41ffffffff,4.0,0.0,0.0
84aca45ffffffff,3.0,0.0,0.0
84aca47ffffffff,5.0,0.0,0.0
84aca4bffffffff,56.0,17.0,0.0
84aca4dffffffff,1.0,0.0,0.0
84aca51ffffffff,1.0,0.0,0.0
84aca53ffffffff,2.0,0.0,0.0
84aca5dffffffff,3.0,0.0,0.0
84aca61ffffffff,74.0,11.0,0.0
84aca67ffffffff,2.0,0.0,0.0
84aca6bffffffff,181.0,15.0,0.0
84aca6dffffffff,1.0,0.0,0.0
84acaa5ffffffff,22.0,7.0,0.0
84acae5ffffffff,1.0,0.0,0.0
84acae7ffffffff,1.0,0.0,0.0
84acaedffffffff,5.0,0.0,0.0
84acb11ffffffff,6.0,0.0,0.0
84acb13ffffffff,2.0,0.0,0.0
84acb1bffffffff,15.0,0.0,0.0
84acb3bffffffff,3.0,0.0,0.0
84ad167ffffffff,2.0,0.0,0.0
84ad82dffffffff,2.0,0.0,0.0
84ad839ffffffff,2.0,0.0,0.0
84ad861ffffffff,1.0,0.0,0.0
84ad865ffffffff,1.0,0.0,0.0
84ad867ffffffff,2.0,0.0,0.0
84ad869ffffffff,2.0,0.0,0.0
84ad881ffffffff,1.0,0.0,0.0
84ad883ffffffff,1.0,0.0,0.0
84ad885ffffffff,3.0,0.0,0.0
84ad887ffffffff,1.0,0.0,0.0
84ad895ffffffff,6.0,0.0,0.0
84ad8b1ffffffff,2.0,0.0,0.0
84ad8b5ffffffff,5.0,0.0,0.0
84ad8b7ffffffff,1.0,0.0,0.0
84ad8b9ffffffff,14.0,0.0,0.0
84ad95bffffffff,1.0,0.0,0.0
84ad9bbffffffff,1.0,0.0,0.0
84ad9d9ffffffff,1.0,0.0,0.0
84ada03ffffffff,2.0,0.0,0.0
84ada1dffffffff,5.0,0.0,0.0
84ada21ffffffff,10.0,0.0,0.0
84ada8dffffffff,2.0,0.0,0.0
84adb07ffffffff,10.0,0.0,0.0
84adb43ffffffff,2.0,0.0,0.0
84adb4bffffffff,2.0,0.0,0.0
84adb53ffffffff,2.0,0.0,0.0
84adb57ffffffff,2.0,0.0,0.0
84adb61ffffffff,1.0,0.0,0.0
84adb63ffffffff,1.0,0.0,0.0
84bc431ffffffff,70.0,21.0,0.0
84bc433ffffffff,3.0,0.0,0.0
84bc435ffffffff,2.0,0.0,0.0
84bc437ffffffff,4.0,0.0,0.0
84bc4bbffffffff,1.0,0.0,0.0
84bc50bffffffff,5.0,1.0,0.0
84bc527ffffffff,1.0,0.0,0.0
84bc5c9ffffffff,4.0,0.0,0.0
84bcc35ffffffff,1.0,0.0,0.0
84bcca5ffffffff,13.0,0.0,1.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd13ffffffff,4.0,0.0,0.0
84bcd33ffffffff,1.0,0.0,0.0
84bcd81ffffffff,7.0,0.0,0.0
84bcd99ffffffff,1.0,0.0,0.0
84bcdcbffffffff,2.0,0.0,0.0
84bcdcdffffffff,1.0,0.0,0.0
84bcdd1ffffffff,27.0,0.0,0.0
84bcdd9ffffffff,1.0,0.0,1.0
84bce81ffffffff,1.0,0.0,0.0
84bce83ffffffff,6.0,0.0,0.0
84bce95ffffffff,3.0,0.0,0.0
84bce99ffffffff,25.0,1.0,0.0
84bce9bffffffff,1.0,0.0,0.0
84bce9dffffffff,3.0,0.0,0.0
84bced1ffffffff,5.0,0.0,0.0
