cell_id,Monachella muelleriana,Monachella muelleriana muelleriana,Monachella muelleriana coultasi
83728efffffffff,1.0,0.0,0.0
8372a2fffffffff,7.0,0.0,0.0
8372d2fffffffff,114.0,0.0,0.0
8372d3fffffffff,2.0,0.0,0.0
8372dafffffffff,120.0,6.0,0.0
8372dbfffffffff,5.0,0.0,0.0
8372f2fffffffff,14.0,0.0,0.0
8372f3fffffffff,8.0,0.0,0.0
839c85fffffffff,2.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0
839c8efffffffff,2.0,0.0,0.0
839c9dfffffffff,9.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0
839caefffffffff,1.0,0.0,0.0
839cb5fffffffff,6.0,0.0,0.0
839cd0fffffffff,1.0,0.0,0.0
839cd2fffffffff,4.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0
