cell_id,Dicrurus caerulescens,Dicrurus caerulescens caerulescens,Dicrurus caerulescens leucopygialis/insularis
833c15fffffffff,12.0,12.0,0.0
833c19fffffffff,7.0,0.0,0.0
833c36fffffffff,5.0,0.0,0.0
833c80fffffffff,5.0,0.0,0.0
833c83fffffffff,1.0,0.0,0.0
833c8dfffffffff,3.0,0.0,0.0
833c9dfffffffff,1.0,0.0,0.0
833cabfffffffff,54.0,0.0,0.0
833cb5fffffffff,3.0,0.0,0.0
833cb6fffffffff,1.0,1.0,0.0
833d10fffffffff,14.0,0.0,0.0
833d84fffffffff,19.0,0.0,0.0
833d8cfffffffff,9.0,0.0,0.0
833d8dfffffffff,2.0,0.0,0.0
833d93fffffffff,10.0,2.0,0.0
833da1fffffffff,477.0,5.0,0.0
833da3fffffffff,4.0,0.0,0.0
833dadfffffffff,2.0,0.0,0.0
833db2fffffffff,4.0,0.0,0.0
833db6fffffffff,2.0,0.0,0.0
8342c0fffffffff,6.0,0.0,0.0
8342c1fffffffff,7.0,0.0,0.0
8342c2fffffffff,7.0,0.0,0.0
8342c3fffffffff,10.0,0.0,0.0
8342c6fffffffff,3.0,0.0,0.0
8342cafffffffff,2.0,0.0,0.0
8342cbfffffffff,9.0,0.0,0.0
8342ccfffffffff,17.0,0.0,0.0
8342cdfffffffff,2.0,0.0,0.0
8342cefffffffff,24.0,0.0,0.0
8342d9fffffffff,24.0,0.0,0.0
8342ddfffffffff,5.0,0.0,0.0
8342ebfffffffff,12.0,3.0,0.0
836006fffffffff,10.0,0.0,0.0
836010fffffffff,11.0,0.0,0.0
836013fffffffff,4.0,0.0,0.0
836014fffffffff,448.0,1.0,0.0
836015fffffffff,269.0,2.0,0.0
836016fffffffff,17.0,0.0,0.0
836022fffffffff,1.0,0.0,0.0
836026fffffffff,1.0,0.0,0.0
836030fffffffff,1.0,0.0,0.0
836031fffffffff,1504.0,13.0,0.0
836032fffffffff,617.0,0.0,0.0
836033fffffffff,2940.0,2.0,0.0
836034fffffffff,2.0,0.0,0.0
836035fffffffff,3.0,0.0,0.0
836036fffffffff,29.0,0.0,0.0
836084fffffffff,16.0,0.0,0.0
836088fffffffff,3.0,0.0,0.0
83608cfffffffff,3.0,0.0,0.0
836092fffffffff,2.0,2.0,0.0
836096fffffffff,3.0,3.0,0.0
83609afffffffff,1.0,0.0,0.0
8360a2fffffffff,22.0,0.0,0.0
8360a5fffffffff,3.0,0.0,0.0
8360a6fffffffff,51.0,0.0,0.0
8360a8fffffffff,87.0,0.0,0.0
8360a9fffffffff,52.0,0.0,0.0
8360adfffffffff,55.0,0.0,0.0
8360b2fffffffff,7.0,0.0,0.0
836189fffffffff,15.0,0.0,0.0
83618bfffffffff,17.0,0.0,0.0
83618cfffffffff,17.0,0.0,0.0
83618dfffffffff,96.0,0.0,0.0
