cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
840c143ffffffff,2.0,0.0,0.0,0.0
840c1b1ffffffff,2.0,0.0,0.0,0.0
840c231ffffffff,2.0,0.0,0.0,0.0
840c293ffffffff,3.0,0.0,0.0,0.0
840c415ffffffff,63.0,0.0,0.0,0.0
840c425ffffffff,2.0,0.0,0.0,0.0
840c42dffffffff,673.0,0.0,0.0,0.0
840c441ffffffff,16.0,0.0,0.0,0.0
840c451ffffffff,8.0,0.0,0.0,0.0
840c455ffffffff,7.0,0.0,0.0,0.0
840c461ffffffff,2.0,0.0,0.0,0.0
840c465ffffffff,23.0,0.0,0.0,0.0
840c46dffffffff,16.0,0.0,0.0,0.0
840c503ffffffff,20.0,0.0,0.0,0.0
840c511ffffffff,4.0,0.0,0.0,0.0
840c51dffffffff,122.0,0.0,0.0,0.0
840c54bffffffff,7.0,0.0,0.0,0.0
840c551ffffffff,29.0,0.0,0.0,0.0
840c555ffffffff,63.0,0.0,0.0,0.0
840c55bffffffff,24.0,0.0,0.0,0.0
840c55dffffffff,15.0,0.0,0.0,0.0
840c5a1ffffffff,4.0,0.0,0.0,0.0
840c5a5ffffffff,123.0,0.0,0.0,0.0
840c5a7ffffffff,16.0,0.0,0.0,0.0
840c5adffffffff,92.0,0.0,0.0,0.0
840c609ffffffff,1.0,0.0,0.0,0.0
840c621ffffffff,6.0,0.0,0.0,0.0
840c629ffffffff,14.0,0.0,0.0,0.0
840c62bffffffff,2.0,0.0,0.0,0.0
840c639ffffffff,3.0,0.0,0.0,0.0
840c63bffffffff,1.0,0.0,0.0,0.0
840c65dffffffff,1.0,0.0,0.0,0.0
840c68bffffffff,2.0,0.0,0.0,0.0
840c6a5ffffffff,4.0,0.0,0.0,0.0
840c705ffffffff,39.0,0.0,0.0,0.0
840c707ffffffff,22.0,0.0,0.0,0.0
840c70dffffffff,24.0,0.0,0.0,0.0
840c715ffffffff,15.0,0.0,0.0,0.0
840c717ffffffff,2.0,0.0,0.0,0.0
840c731ffffffff,24.0,0.0,0.0,0.0
840c733ffffffff,2109.0,0.0,0.0,0.0
840c735ffffffff,4.0,0.0,0.0,0.0
840c737ffffffff,2.0,0.0,0.0,0.0
840c739ffffffff,16.0,0.0,0.0,0.0
840c73bffffffff,510.0,0.0,0.0,0.0
840c73dffffffff,164.0,6.0,0.0,0.0
