cell_id,Erythropitta macklotii,Erythropitta macklotii habenichti,Erythropitta macklotii [macklotii Group],Erythropitta macklotii finschii
837290fffffffff,18.0,0.0,0.0,0.0
8372a0fffffffff,2.0,0.0,0.0,0.0
8372a2fffffffff,15.0,0.0,0.0,0.0
8372b0fffffffff,1.0,0.0,0.0,0.0
8372d2fffffffff,2.0,0.0,0.0,0.0
8372d5fffffffff,2.0,2.0,0.0,0.0
8372d9fffffffff,1.0,1.0,0.0,0.0
8372dbfffffffff,2.0,2.0,0.0,0.0
8372dcfffffffff,1.0,1.0,0.0,0.0
8372defffffffff,1.0,1.0,0.0,0.0
8372f2fffffffff,84.0,84.0,0.0,0.0
8372f3fffffffff,3.0,3.0,0.0,0.0
837398fffffffff,7.0,0.0,0.0,0.0
83739afffffffff,156.0,0.0,0.0,0.0
83739bfffffffff,66.0,0.0,0.0,0.0
839c19fffffffff,231.0,0.0,0.0,0.0
839c8bfffffffff,2.0,0.0,0.0,0.0
839c99fffffffff,3.0,3.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0,0.0
839caefffffffff,36.0,0.0,0.0,0.0
839cb5fffffffff,28.0,0.0,0.0,0.0
839cd3fffffffff,78.0,0.0,0.0,0.0
839cf5fffffffff,43.0,0.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0,0.0
