cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
8445205ffffffff,15.0,0.0,0.0
8445207ffffffff,3.0,0.0,0.0
8445209ffffffff,19.0,0.0,0.0
844520dffffffff,202.0,0.0,0.0
8445241ffffffff,27.0,0.0,0.0
8445243ffffffff,170.0,0.0,0.0
8445245ffffffff,75.0,0.0,0.0
8445247ffffffff,116.0,0.0,0.0
844524bffffffff,185.0,0.0,0.0
8445251ffffffff,3.0,0.0,0.0
8445253ffffffff,8.0,0.0,6.0
8445255ffffffff,19.0,0.0,0.0
844525bffffffff,43.0,0.0,12.0
844525dffffffff,22.0,0.0,0.0
8445261ffffffff,3.0,0.0,0.0
8445263ffffffff,1.0,0.0,0.0
8445267ffffffff,4.0,0.0,0.0
8445269ffffffff,36.0,0.0,0.0
844526bffffffff,17.0,0.0,0.0
844526dffffffff,79.0,0.0,2.0
8445309ffffffff,4.0,0.0,0.0
8445343ffffffff,15.0,0.0,0.0
8445351ffffffff,84.0,0.0,0.0
844535bffffffff,4.0,0.0,0.0
8449901ffffffff,4.0,0.0,0.0
8449903ffffffff,6.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0
8449909ffffffff,2.0,0.0,0.0
844990bffffffff,4.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0
8449911ffffffff,3.0,0.0,0.0
8449917ffffffff,3.0,0.0,0.0
844991dffffffff,16.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0
8449963ffffffff,174.0,63.0,0.0
8449969ffffffff,23.0,2.0,0.0
844996bffffffff,52.0,0.0,0.0
8466087ffffffff,1.0,0.0,0.0
8466089ffffffff,3.0,0.0,0.0
846608dffffffff,72.0,0.0,0.0
84660b5ffffffff,6.0,0.0,0.0
84660b7ffffffff,4.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0
84660bdffffffff,6.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0
8466181ffffffff,16.0,0.0,3.0
8466183ffffffff,601.0,0.0,43.0
8466187ffffffff,11.0,0.0,0.0
8466189ffffffff,7.0,0.0,0.0
846618bffffffff,172.0,0.0,29.0
846618dffffffff,8.0,0.0,0.0
8466191ffffffff,18.0,0.0,0.0
8466193ffffffff,115.0,0.0,0.0
8466195ffffffff,121.0,0.0,9.0
8466197ffffffff,634.0,0.0,3.0
8466199ffffffff,15.0,0.0,0.0
846619dffffffff,300.0,0.0,4.0
84661b1ffffffff,86.0,0.0,24.0
84661b3ffffffff,290.0,0.0,9.0
84661b7ffffffff,13.0,0.0,3.0
84661b9ffffffff,1026.0,0.0,121.0
84661bbffffffff,1212.0,0.0,144.0
84661bdffffffff,10.0,0.0,1.0
84661c3ffffffff,6.0,0.0,0.0
84661d1ffffffff,224.0,0.0,36.0
84661d5ffffffff,44.0,0.0,0.0
84661d7ffffffff,13.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0
8466a29ffffffff,8.0,0.0,6.0
8466a2dffffffff,136.0,0.0,5.0
8466a33ffffffff,39.0,0.0,12.0
8466b41ffffffff,705.0,0.0,0.0
8466b43ffffffff,54.0,0.0,0.0
8466b45ffffffff,556.0,0.0,0.0
8466b47ffffffff,7.0,0.0,0.0
8466b49ffffffff,114.0,0.0,0.0
8466b4dffffffff,1993.0,0.0,0.0
8466b51ffffffff,1092.0,0.0,136.0
8466b53ffffffff,46.0,0.0,5.0
8466b55ffffffff,139.0,0.0,0.0
8466b5bffffffff,290.0,0.0,23.0
8466b5dffffffff,105.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c0dffffffff,13.0,0.0,2.0
8466c21ffffffff,7.0,0.0,0.0
8466c25ffffffff,3.0,0.0,0.0
8466c2dffffffff,8.0,0.0,3.0
8466c41ffffffff,3.0,0.0,0.0
8466c45ffffffff,19.0,0.0,0.0
8466c47ffffffff,67.0,0.0,0.0
8466c49ffffffff,31.0,0.0,0.0
8466c4bffffffff,3.0,0.0,0.0
8466c4dffffffff,15.0,0.0,0.0
8466c61ffffffff,16.0,0.0,0.0
8466c63ffffffff,94.0,0.0,9.0
8466c65ffffffff,39.0,0.0,0.0
8466c67ffffffff,49.0,0.0,0.0
8466c69ffffffff,36.0,0.0,1.0
8466c6bffffffff,5.0,0.0,0.0
8466c6dffffffff,480.0,0.0,0.0
8466d19ffffffff,37.0,0.0,4.0
8466d53ffffffff,87.0,0.0,0.0
8466d57ffffffff,10.0,0.0,0.0
8466d59ffffffff,3.0,0.0,0.0
8466d5bffffffff,15.0,0.0,0.0
8466e01ffffffff,4.0,0.0,0.0
8466e03ffffffff,12.0,0.0,0.0
8466e07ffffffff,5.0,0.0,0.0
8466e09ffffffff,31.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e0dffffffff,56.0,0.0,0.0
8466e27ffffffff,9.0,0.0,0.0
8466e2dffffffff,75.0,0.0,2.0
8466e3dffffffff,17.0,0.0,0.0
8466e41ffffffff,5.0,0.0,0.0
8466e43ffffffff,30.0,0.0,0.0
8466e45ffffffff,14.0,0.0,0.0
8466e47ffffffff,94.0,0.0,0.0
8466e49ffffffff,9.0,0.0,0.0
8466e4bffffffff,5.0,0.0,0.0
8466e51ffffffff,1.0,0.0,0.0
8466e55ffffffff,9.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0
8466e61ffffffff,91.0,0.0,3.0
8466e63ffffffff,8.0,0.0,0.0
8466e65ffffffff,1640.0,0.0,167.0
8466e67ffffffff,226.0,0.0,14.0
8466e69ffffffff,304.0,0.0,7.0
8466e6dffffffff,2758.0,0.0,109.0
8466f03ffffffff,7.0,0.0,0.0
8466f0bffffffff,12.0,0.0,0.0
8466f13ffffffff,2.0,0.0,0.0
8466f15ffffffff,31.0,0.0,4.0
8466f17ffffffff,38.0,0.0,0.0
8466f19ffffffff,217.0,0.0,0.0
8466f1bffffffff,2.0,0.0,0.0
8466f1dffffffff,1941.0,0.0,164.0
8466f33ffffffff,1.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,3.0,0.0,0.0
8466f51ffffffff,10.0,0.0,0.0
8466f53ffffffff,165.0,0.0,0.0
8466f57ffffffff,83.0,0.0,4.0
8466f59ffffffff,118.0,0.0,2.0
8466f5bffffffff,334.0,0.0,0.0
8466f5dffffffff,35.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
84679a7ffffffff,29.0,0.0,0.0
846d059ffffffff,15.0,0.0,4.0
846d05bffffffff,298.0,0.0,187.0
846d207ffffffff,33.0,3.0,1.0
846d217ffffffff,4.0,1.0,0.0
846d237ffffffff,2.0,0.0,0.0
846d23bffffffff,395.0,99.0,0.0
846d23dffffffff,2.0,0.0,2.0
846d281ffffffff,9.0,0.0,0.0
846d283ffffffff,638.0,0.0,180.0
846d285ffffffff,2.0,0.0,0.0
846d287ffffffff,292.0,0.0,116.0
846d289ffffffff,15.0,0.0,0.0
846d28bffffffff,1.0,0.0,0.0
846d28dffffffff,96.0,0.0,47.0
846d291ffffffff,696.0,0.0,252.0
846d293ffffffff,2.0,0.0,2.0
846d295ffffffff,303.0,0.0,60.0
846d297ffffffff,7.0,0.0,7.0
846d299ffffffff,46.0,0.0,12.0
846d29bffffffff,12.0,0.0,4.0
846d29dffffffff,2.0,0.0,2.0
846d2a9ffffffff,177.0,0.0,92.0
846d2abffffffff,78.0,0.0,13.0
846d2b9ffffffff,512.0,0.0,122.0
846d2c7ffffffff,4.0,0.0,0.0
846d2d1ffffffff,291.0,0.0,41.0
846d2d3ffffffff,132.0,0.0,39.0
846d2d5ffffffff,2.0,0.0,0.0
846d2d7ffffffff,1452.0,0.0,908.0
846d2e3ffffffff,12.0,0.0,0.0
846d2e5ffffffff,3.0,0.0,0.0
846d2e7ffffffff,5.0,0.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d2ebffffffff,29.0,3.0,4.0
846d303ffffffff,4.0,0.0,0.0
846d305ffffffff,70.0,2.0,0.0
846d307ffffffff,58.0,0.0,0.0
846d361ffffffff,3.0,0.0,0.0
846d363ffffffff,5.0,0.0,0.0
846d36dffffffff,54.0,5.0,0.0
846d609ffffffff,66.0,0.0,0.0
846d641ffffffff,17.0,0.0,0.0
846d643ffffffff,1.0,0.0,0.0
846d645ffffffff,1214.0,0.0,104.0
846d647ffffffff,2.0,0.0,0.0
846d64bffffffff,3.0,0.0,0.0
846d64dffffffff,132.0,0.0,2.0
846d651ffffffff,627.0,0.0,32.0
846d653ffffffff,54.0,0.0,8.0
846d655ffffffff,69.0,0.0,0.0
846d657ffffffff,21.0,0.0,2.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,2.0,0.0,0.0
846d65dffffffff,29.0,0.0,15.0
846d669ffffffff,4.0,0.0,0.0
846d66dffffffff,229.0,0.0,0.0
846d691ffffffff,224.0,0.0,0.0
846d693ffffffff,219.0,0.0,0.0
846d697ffffffff,6.0,0.0,0.0
846d69bffffffff,643.0,0.0,0.0
846d69dffffffff,1571.0,0.0,0.0
846d741ffffffff,77.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
846d749ffffffff,49.0,0.0,0.0
846d74bffffffff,88.0,0.0,0.0
846d75dffffffff,2.0,0.0,0.0
