cell_id,Cisticola chubbi,Cisticola chubbi discolor/adametzi,Cisticola chubbi chubbi/marungensis
8458c3dffffffff,2.0,0.0,0.0
8458d13ffffffff,4.0,0.0,0.0
8458d1dffffffff,2.0,0.0,0.0
8458d33ffffffff,32.0,32.0,0.0
8458dcdffffffff,2.0,0.0,0.0
8458de1ffffffff,3.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0
8458de9ffffffff,2.0,0.0,0.0
846ac03ffffffff,80.0,0.0,10.0
846ac0bffffffff,2.0,0.0,2.0
846ac15ffffffff,45.0,0.0,15.0
846ac1dffffffff,2.0,0.0,0.0
846ac2bffffffff,2.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0
846ac35ffffffff,6.0,0.0,0.0
846ac37ffffffff,1.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846ac3dffffffff,13.0,0.0,2.0
846ac5bffffffff,1.0,0.0,0.0
846ace5ffffffff,5.0,0.0,0.0
846ad81ffffffff,19.0,0.0,0.0
846ad83ffffffff,3.0,0.0,2.0
846ad85ffffffff,2.0,0.0,0.0
846ad89ffffffff,4.0,0.0,3.0
846ad8bffffffff,15.0,0.0,3.0
846ad8dffffffff,11.0,0.0,0.0
846ada1ffffffff,1.0,0.0,0.0
846ada9ffffffff,64.0,0.0,13.0
846adc1ffffffff,1249.0,0.0,121.0
846adc3ffffffff,44.0,0.0,6.0
846adc5ffffffff,140.0,0.0,0.0
846adc7ffffffff,224.0,0.0,23.0
846adc9ffffffff,9.0,0.0,2.0
846adcbffffffff,17.0,0.0,0.0
846add7ffffffff,1.0,0.0,0.0
846ade3ffffffff,2.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,239.0,0.0,41.0
846ade9ffffffff,10.0,0.0,0.0
846adebffffffff,42.0,0.0,2.0
846ae85ffffffff,1.0,0.0,0.0
846aea1ffffffff,8.0,0.0,0.0
846aee5ffffffff,1.0,0.0,0.0
847a489ffffffff,53.0,0.0,0.0
847a48bffffffff,25.0,0.0,2.0
847a48dffffffff,2.0,0.0,0.0
847a4c1ffffffff,4.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4c7ffffffff,5.0,0.0,0.0
847a4c9ffffffff,3.0,0.0,0.0
847a4cbffffffff,223.0,0.0,3.0
847a4d7ffffffff,3.0,0.0,0.0
847a4ddffffffff,130.0,0.0,0.0
847a6b7ffffffff,4.0,0.0,0.0
8482d27ffffffff,1.0,0.0,0.0
8482d3dffffffff,44.0,20.0,0.0
