cell_id,Vanellus chilensis,Vanellus chilensis cayennensis,Vanellus chilensis lampronotus,Vanellus chilensis chilensis/fretensis
834524fffffffff,3.0,0.0,0.0,0.0
835e66fffffffff,73.0,0.0,0.0,0.0
835f08fffffffff,96.0,0.0,0.0,0.0
835f09fffffffff,245.0,0.0,0.0,0.0
835f0bfffffffff,47.0,0.0,0.0,0.0
835f0dfffffffff,32.0,0.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0,0.0
835f29fffffffff,458.0,3.0,0.0,0.0
835f2bfffffffff,21.0,0.0,0.0,0.0
835f2dfffffffff,204.0,0.0,0.0,0.0
835f40fffffffff,90.0,3.0,0.0,0.0
835f41fffffffff,36.0,1.0,0.0,0.0
835f42fffffffff,33.0,0.0,0.0,0.0
835f43fffffffff,14.0,0.0,0.0,0.0
835f46fffffffff,5.0,0.0,0.0,0.0
835f48fffffffff,21.0,0.0,0.0,0.0
835f49fffffffff,34.0,0.0,0.0,0.0
835f4afffffffff,31.0,0.0,0.0,0.0
835f4bfffffffff,99.0,0.0,0.0,0.0
835f4efffffffff,23.0,0.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0,0.0
835f56fffffffff,1.0,0.0,0.0,0.0
835f58fffffffff,1691.0,0.0,0.0,0.0
835f59fffffffff,37.0,0.0,0.0,0.0
835f5bfffffffff,739.0,16.0,0.0,0.0
835f5dfffffffff,24.0,0.0,0.0,0.0
835f68fffffffff,36.0,0.0,0.0,0.0
835f69fffffffff,1.0,0.0,0.0,0.0
835f71fffffffff,5.0,0.0,0.0,0.0
835f75fffffffff,6.0,0.0,0.0,0.0
835f76fffffffff,2.0,0.0,0.0,0.0
836600fffffffff,66.0,2.0,0.0,0.0
836601fffffffff,13.0,1.0,0.0,0.0
836602fffffffff,709.0,0.0,0.0,0.0
836603fffffffff,25.0,0.0,0.0,0.0
836604fffffffff,130.0,0.0,0.0,0.0
836605fffffffff,33.0,2.0,0.0,0.0
836606fffffffff,341.0,3.0,0.0,0.0
836608fffffffff,440.0,2.0,0.0,0.0
836609fffffffff,138.0,0.0,0.0,0.0
83660afffffffff,373.0,20.0,0.0,0.0
83660bfffffffff,1031.0,4.0,0.0,0.0
83660cfffffffff,284.0,8.0,0.0,0.0
83660dfffffffff,164.0,2.0,0.0,0.0
83660efffffffff,338.0,0.0,0.0,0.0
836610fffffffff,791.0,82.0,0.0,0.0
836611fffffffff,193.0,0.0,0.0,0.0
836612fffffffff,10.0,0.0,0.0,0.0
836613fffffffff,861.0,47.0,0.0,0.0
836615fffffffff,7.0,0.0,0.0,0.0
836616fffffffff,743.0,55.0,0.0,0.0
836618fffffffff,1201.0,30.0,0.0,0.0
836619fffffffff,2911.0,85.0,0.0,0.0
83661afffffffff,154.0,1.0,0.0,0.0
83661bfffffffff,2567.0,65.0,0.0,0.0
83661cfffffffff,111.0,0.0,0.0,0.0
83661dfffffffff,248.0,3.0,0.0,0.0
83661efffffffff,162.0,3.0,0.0,0.0
836620fffffffff,610.0,91.0,0.0,0.0
836621fffffffff,132.0,8.0,0.0,0.0
836622fffffffff,1252.0,77.0,0.0,0.0
836623fffffffff,72.0,6.0,0.0,0.0
836625fffffffff,511.0,75.0,0.0,0.0
836628fffffffff,46.0,0.0,0.0,0.0
836629fffffffff,366.0,13.0,0.0,0.0
83662afffffffff,6.0,0.0,0.0,0.0
83662bfffffffff,117.0,0.0,0.0,0.0
83662cfffffffff,121.0,0.0,0.0,0.0
83662dfffffffff,4.0,0.0,0.0,0.0
83662efffffffff,42.0,1.0,0.0,0.0
836631fffffffff,768.0,13.0,0.0,0.0
836641fffffffff,438.0,21.0,0.0,0.0
836642fffffffff,2.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0
836644fffffffff,28.0,0.0,0.0,0.0
836645fffffffff,14.0,0.0,0.0,0.0
836646fffffffff,3.0,0.0,0.0,0.0
836650fffffffff,39.0,0.0,0.0,0.0
836652fffffffff,878.0,8.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0
836654fffffffff,726.0,4.0,0.0,0.0
836655fffffffff,1.0,0.0,0.0,0.0
836656fffffffff,911.0,5.0,0.0,0.0
83665afffffffff,250.0,18.0,0.0,0.0
83665bfffffffff,145.0,2.0,0.0,0.0
83665efffffffff,52.0,0.0,0.0,0.0
836660fffffffff,19.0,0.0,0.0,0.0
836661fffffffff,3.0,0.0,0.0,0.0
836662fffffffff,10.0,0.0,0.0,0.0
836663fffffffff,129.0,3.0,0.0,0.0
836664fffffffff,146.0,38.0,0.0,0.0
836666fffffffff,3.0,0.0,0.0,0.0
83666efffffffff,8.0,0.0,0.0,0.0
836670fffffffff,104.0,3.0,0.0,0.0
836671fffffffff,5.0,0.0,0.0,0.0
836672fffffffff,724.0,5.0,0.0,0.0
836673fffffffff,173.0,42.0,0.0,0.0
