cell_id,Stilpnia cyanoptera,Stilpnia cyanoptera cyanoptera,Stilpnia cyanoptera whitelyi
845f407ffffffff,2.0,0.0,0.0
845f487ffffffff,9.0,0.0,0.0
845f4abffffffff,1.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,0.0
845f4bdffffffff,8.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f711ffffffff,108.0,0.0,15.0
845f713ffffffff,3.0,0.0,0.0
845f755ffffffff,18.0,0.0,4.0
845f75dffffffff,1.0,0.0,0.0
846601bffffffff,207.0,6.0,0.0
8466081ffffffff,2.0,0.0,0.0
846608dffffffff,17.0,0.0,0.0
84660b9ffffffff,2.0,0.0,0.0
84660c1ffffffff,32.0,0.0,0.0
84660c3ffffffff,12.0,0.0,0.0
84660cbffffffff,38.0,2.0,0.0
84660cdffffffff,7.0,0.0,0.0
84660ddffffffff,68.0,0.0,0.0
8466205ffffffff,5.0,0.0,0.0
8466207ffffffff,4.0,0.0,0.0
8466211ffffffff,21.0,0.0,0.0
8466213ffffffff,12.0,0.0,0.0
8466217ffffffff,414.0,0.0,0.0
8466219ffffffff,3.0,0.0,0.0
8466221ffffffff,1.0,0.0,0.0
846622bffffffff,1782.0,55.0,0.0
8466239ffffffff,3.0,0.0,0.0
846623dffffffff,17.0,3.0,0.0
8466291ffffffff,42.0,1.0,0.0
8466295ffffffff,1.0,0.0,0.0
846629dffffffff,13.0,0.0,0.0
84662a7ffffffff,4.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0
84662b7ffffffff,30.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0
84662dbffffffff,4.0,0.0,0.0
84662e1ffffffff,4.0,0.0,0.0
84662e5ffffffff,45.0,0.0,0.0
84662e9ffffffff,18.0,0.0,0.0
8466e01ffffffff,3.0,0.0,0.0
8466e09ffffffff,1.0,1.0,0.0
8466e0bffffffff,1.0,0.0,0.0
8466e41ffffffff,1.0,0.0,0.0
8466e47ffffffff,6.0,0.0,0.0
8466e55ffffffff,2.0,0.0,0.0
8467413ffffffff,1072.0,36.0,0.0
8467417ffffffff,28.0,0.0,0.0
8467425ffffffff,233.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0
8467433ffffffff,15.0,0.0,0.0
8467437ffffffff,115.0,3.0,0.0
846743bffffffff,4.0,0.0,0.0
84674c1ffffffff,4.0,0.0,0.0
84674c5ffffffff,608.0,11.0,0.0
84674c7ffffffff,3.0,0.0,0.0
84674cdffffffff,24.0,0.0,0.0
84674ddffffffff,1.0,0.0,0.0
84674e5ffffffff,2.0,0.0,0.0
84674e9ffffffff,279.0,0.0,0.0
84674ebffffffff,10.0,0.0,0.0
84674edffffffff,33.0,2.0,0.0
8467519ffffffff,97.0,0.0,0.0
8467553ffffffff,4.0,0.0,0.0
84675adffffffff,31.0,0.0,0.0
84675c1ffffffff,3.0,0.0,0.0
84675c5ffffffff,1.0,0.0,0.0
84675c7ffffffff,28.0,0.0,0.0
84675c9ffffffff,10.0,0.0,0.0
84675cbffffffff,33.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0
84675e1ffffffff,4.0,0.0,0.0
84675e3ffffffff,5.0,0.0,0.0
84675e7ffffffff,6.0,0.0,0.0
84675ebffffffff,79.0,5.0,0.0
