cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
846802dffffffff,29.0,2.0,0.0
84681bdffffffff,1.0,0.0,0.0
8468415ffffffff,2.0,0.0,0.0
8468423ffffffff,2.0,0.0,0.0
8468435ffffffff,12.0,0.0,0.0
846855bffffffff,8.0,0.0,0.0
8468589ffffffff,2.0,0.0,0.0
84685c7ffffffff,1.0,0.0,0.0
84685d1ffffffff,10.0,0.0,0.0
84685e3ffffffff,6.0,0.0,0.0
8468621ffffffff,1.0,0.0,0.0
846871bffffffff,4.0,0.0,0.0
8468751ffffffff,11.0,0.0,0.0
84694e7ffffffff,2.0,0.0,0.0
846958bffffffff,2.0,0.0,0.0
84695d1ffffffff,1.0,0.0,0.0
8472da3ffffffff,1.0,0.0,0.0
84769d1ffffffff,4.0,0.0,0.0
8477981ffffffff,1.0,0.0,0.0
849a021ffffffff,1.0,0.0,1.0
849a02dffffffff,6.0,0.0,0.0
849a151ffffffff,2.0,0.0,0.0
849c8abffffffff,1.0,0.0,0.0
849c901ffffffff,1.0,0.0,0.0
849e31bffffffff,2.0,0.0,0.0
849eda7ffffffff,18.0,0.0,0.0
