cell_id,Cnemoscopus rubrirostris,Cnemoscopus rubrirostris rubrirostris,Cnemoscopus rubrirostris chrysogaster
82660ffffffffff,67.0,0.0,0.0
82661ffffffffff,1592.0,40.0,0.0
8266c7fffffffff,164.0,0.0,0.0
8266d7fffffffff,21.0,8.0,0.0
8266dffffffffff,1468.0,181.0,0.0
8266e7fffffffff,2406.0,83.0,0.0
8266f7fffffffff,155.0,0.0,0.0
828b67fffffffff,155.0,0.0,0.0
828b6ffffffffff,38.0,0.0,0.0
828e67fffffffff,62.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f0ffffffffff,7.0,2.0,0.0
828f2ffffffffff,4.0,0.0,0.0
828f47fffffffff,33.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,29.0,6.0,0.0
828f5ffffffffff,25.0,0.0,0.0
828f77fffffffff,791.0,81.0,10.0
